g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
503,Dry Beans,Sacramento River,44.18771134,1188.155228,1.27,2.293810917,0.272510229,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,50,114.6905459,1393.404383,12.43676115,1393.404383,462.5644357,930.839947,-4.882352941,0.17421752430732734,0.82570876,6.044275346731609e-05,1.3273194223158477e-05,0.9024725418585405,0.013470670401054883,38115.73570321005,44.18770926274273,101.35822792637858,2.0772572710825443e-06,2.6742558119963178e-05,4.700984070207209e-08,2.638419357881759e-07,GOOD,1247.562989,1347.528164
503,Grain,Sacramento River,9684.81857,199.4660006,2.8535,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000004,528.7723025890999,13.416333533216775,528.7723025890999,462.5644357,66.20786687,-4.882352941,0.9760049267063166,0.022889597,0.000897124,0.000208352,2.8820934592669825,0.000139533,123494.56657575774,9684.838928832743,7641.940605897586,-0.020358833,-0.012097132,2.102138785241379e-06,1.5829947043498288e-06,GOOD,209.4393006,512.9910498
503,Other Deciduous,Sacramento River,22202.87498,1905.459404,2.0455,3.327741402,0.215021845,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,50,166.3870701,3730.326987,22.189081365989566,3730.326987,462.5644357,3267.762551,-4.882352941,0.059521991,0.9404670300613618,5.44958649521301e-06,5.529779926666727e-06,1.1580490422780538,0.000346455,4304.322957438214,22202.874825855713,73885.38824800964,0.000154144,0.038066366,6.9425372713723745e-09,5.152080483713569e-07,GOOD,2000.732374,3663.772159
503,Pasture,Sacramento River,14849.15114,245.2727642,5,3.965593094,0.350906068,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50,198.2796547,1027.3881798950001,5.869892099974113,1027.3881798950001,462.5644357,564.8237442,-4.882352941,0.00617677,0.9938211564265743,1.1419949668481538e-06,9.319572371447491e-07,1.828910518,0.000132047,602416.2389356781,14849.147577352916,58885.64291379176,0.003562647,0.048298754467396066,2.3992260903924143e-07,8.202120663416022e-07,GOOD,257.5364024,948.076318
503,Rice,Sacramento River,360.07939,536.9449146,4.726,4.534377778,0.381523094,0.545092624,0.07948555,0.2,0.17,851.2633133,1216.2235,177.3500304,50,226.71888889999997,2309.876676,10.612640668141953,2309.876676,462.5644357,1847.312241,-4.882352941,0.006310614,0.9936876802143372,1.488954346363309e-06,2.1711971495247772e-07,1.7070844487851287,0.013885826678388896,896.5733865220628,360.0793764637555,1632.7350817794713,1.3536244466649805e-05,0.000902552,3.759238890803999e-08,5.527852221741702e-07,GOOD,563.7921603,2219.189121
503,Safflower,Sacramento River,221.8213511,563.5408044,1.0316,2.357007476,0.396694215,0.424242424,0.112947658,0.74,0.17,212.2655769,227.006242,60.43672676,50,117.85037380000001,462.56443572203995,4.661100987242545,462.56443572203995,462.5644357,0,-4.882352941,0.056362595457104134,0.9435720050410428,5.1648837393551925e-05,1.375066445977245e-05,0.5997154436801151,0.006092071,16.85801741509503,221.8066965738684,522.7997591706782,0.014654526,0.034823708442672796,6.606454274535956e-05,6.660559493005845e-05,GOOD,591.7178446,415.4242862
503,Sunflowers,Sacramento River,442.0364657,3732.028857,0.608,2.873453662,0.386904762,0.388227513,0.177248677,0.74,0.17,734.0697039,736.5793439,336.2917618,50,143.6726831,2124.4484810039994,14.942240046897128,2124.4484810039994,462.5644357,1661.884045,-4.882352941,0.078746168,0.9212328750870233,1.4387669431442215e-05,6.5688167026855575e-06,0.366161103,0.003057104,140769.05584887328,442.03644416783015,1270.170609918989,2.1532169853344385e-05,0.000691184,4.871129765108061e-08,5.44166139610256e-07,GOOD,3918.6303,2066.979408
503,Tomato Processing,Sacramento River,70.63873048,94.64475294,43.174,2.666779844,0.124471553,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50,133.3389922,3952.0071440245597,29.001749835197828,3952.0071440245597,462.5644357,3489.442708,-4.882352941,0.19783337876263016,0.8021304820243476,2.6688043816029505e-05,9.45116920629081e-06,31.193074206071405,0.019130459199489157,47223.88730777057,70.63872928735945,188.37787467618827,1.192640553426827e-06,6.7973624197748e-05,1.688366347077118e-08,3.608364293695914e-07,GOOD,99.37699059,3898.671547
503,Truck Crops,Sacramento River,147.2391075,4569.754449,5.564927083,2.662234731,0.139554281,0.396137579,0.419814805,0.33,0.17,7441.94487,27484.23099,27982.75263,50,133.1117366,25296.28305268484,180.65099761431182,25296.28305268484,462.5644357,24833.71862,-4.882352941,0.614565548,0.3854146284743761,9.623989614273272e-06,1.0199217487614722e-05,5.042244147194352,0.020580829928645353,58282.40011978139,147.23910734525214,391.98490265892355,1.5474785186597728e-07,0.000163089,1.0509969429553714e-09,4.1605926666111485e-07,GOOD,4798.242171,25243.03836
503,Vineyard,Sacramento River,5.138410038,1715.19151,9.664853365,2.661751325,0.302297005,0.200476183,0.304083218,0.13,0.17,2773.231975,2743.166444,4105.247296,50,133.0875663,16443.180014386933,117.91148299434725,16443.180014386933,462.5644357,15980.61558,-4.882352941,0.5092235663452882,0.4907608084037616,6.20836845513102e-06,9.416882495043958e-06,8.431099851112835,1.4970209919840758,4.871324329410863,5.138410034830821,13.677192235427057,3.1691786972487535e-09,-2.25E-05,6.167625148269169e-10,1.6456904247264177e-06,GOOD,1800.951086,16389.94499
