g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater_unit,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply,,pc,pimarginal
506,Other Deciduous,Sacramento River,81700.08673,1684.534605,1.818560005,3.327741402,0.215021845,0.54254216,0.5586272122329681,0.13,0.17,2284.866179,4950.948854,6009.195442,50,166.3870701,2896.1370357254727,17.44004940616075,2896.1370357254727,530.5656128,2365.571423,-4.882352941,0.046835594035466575,0.9531532784940678,0.029484962434512544,0.029057368507581578,0.9827082533684854,9.415299297941996e-05,11466.070958238408,81700.08627,271876.71968528844,0.000464365,0.041473123361356556,5.683778444553119e-09,1.525438334069009e-07,GOOD,0.6204120841421951,0.6295417628777134,,1684.534605,2508.417927
506,Pasture,Sacramento River,10526.79025,263.4629589,5,3.965593094,0.350906068,0.10289172336777223,0.068524209,0.51,0.17,328.209843,177.7241242,145.0367898,10,39.65593094,1276.9628771550001,31.091100525533868,1276.9628771550001,530.5656128,746.3972644,-4.882352941,0.037185695,0.9628042592914527,0.068672225,0.08414907,2.5638839460569676,0.000186266,564264.2105374947,10526.789318967136,41744.933208769806,0.000931033,0.033508617,8.844413558759526e-08,8.026983696504264e-07,GOOD,2.262942000342034,1.8467377139832826,,263.4629589,1159.533187
506,Rice,Sacramento River,187985.7472,548.1619482,4.836636627,4.534377778,0.381523094,0.7787889472798347,0.016559817107172286,0.2,0.17,851.2633133,1216.2235,177.3500304,50,226.71888889999997,2423.5351660237966,11.087977962808719,2423.5351660237966,530.5656128,1892.969553,-4.882352941,0.006619024,0.99337927,0.00463281,0.031770687,1.7626846449543274,2.6597761130690656e-05,479638.08458918275,187985.74416685742,852398.2514384985,0.003033143,0.1432459072675556,1.613496044388543e-08,1.6805041886615864e-07,GOOD,4.7999050645054355,0.699923421,,548.1619482,1622.054193
506,Safflower,Sacramento River,2307.680114,567.9284206,1.01469544,2.357007476,0.396694215,0.4537037030434028,0.032158708,0.74,0.17,212.2655769,227.006242,60.43672676,10,23.57007476,551.7704195722218,22.397717049517187,551.7704195722218,530.5656128,21.2048068,-4.882352941,0.2625865706254184,0.7371579652263479,0.24553549482781667,0.9222552760128272,0.7783818827039154,0.000585589,9550.075878732614,2307.675073401972,5439.203545903374,0.005040598,0.015735011,2.1842706869164064e-06,2.892880456730735e-06,GOOD,3.5121951355556216,0.9350649358914657,,567.9284206,519.8369796
506,Sunflowers,Sacramento River,16130.53931,3720.650174,0.6,2.873453662,0.386904762,0.3895547862245365,0.081201103,0.74,0.17,734.0697039,736.5793439,336.2917618,50,143.6726831,2087.7650403479997,14.700673272994026,2087.7650403479997,530.5656128,1557.199428,-4.882352941,0.077492033,0.9224869816769884,0.077228006,0.16915238641785887,0.36023929126019094,8.37759559913531e-05,4813359.508679825,16130.538659596068,46350.348515912876,0.000650404,0.008734442,4.0321276276870655e-08,1.884438890820698e-07,GOOD,2.182835824495322,0.9965928458037955,,3720.650174,1818.695646
506,Tomato Processing,Sacramento River,25831.32762,96.05843248,50.08145313,2.666779844,0.124471553,2.283636824869254,0.28639447182202826,0.74,0.17,657.2463564,2815.18314,996.9547547,50,133.3389922,4676.560464581389,34.14426669382678,4676.560464581389,530.5656128,4145.994852,-4.882352941,0.22590907258675208,0.774056053,0.052741831625683196,0.1489314478072178,37.14189838949749,5.2314436610879525e-05,20518037.021015316,25831.327267654433,68886.45307382931,0.000352346,0.010766947190859355,1.3640242277264426e-08,1.5629989682364842e-07,GOOD,0.6592539471827814,0.23346486717761028,,96.05843248,4452.465644
506,Truck Crops,Sacramento River,1278.958937,228.4534977,22.7652794,2.662234731,0.139554281,1.1244727167916924,1.262909809962677,0.409701328,0.17,7441.94487,27484.23099,27982.75263,50,133.1117366,5066.740461832757,36.94526773658161,5066.740461832757,530.5656128,4536.174849,-4.882352941,0.24206464287089952,0.7578963758976909,0.085276326,0.080466808,17.116339402104696,0.001908429,207014.17764843014,1278.9589281944732,3404.888409493978,8.805526931610075e-06,0.00049211,6.884917628602547e-09,1.4453049053527605e-07,GOOD,0.332418674,0.35228740820875265,,228.4534977,4843.90608
506,Vineyard,Sacramento River,2745.0647,1682.761529,10.60448561,2.661751325,0.302297005,0.1329510358537938,0.3058799853780738,0.13,0.17,2773.231975,2743.166444,4105.247296,50,133.0875663,17710.925996686095,126.92886476461847,17710.925996686095,530.5656128,17180.36038,-4.882352941,0.527763431,0.47222153413828627,0.7958117623549751,0.5246633,9.317689882847214,0.002802232,2797.7510320003103,2745.0646984169275,7306.678591914377,1.5830723896215204e-06,0.001010521,5.766976602123514e-10,1.3830103487384803e-07,GOOD,0.9941259073363267,1.5078948555200695,,1682.761529,17489.83329
507,Alfalfa,Sacramento River,3448.830199,276.0093013,6.650916648,3.537610105,0.306290873,0.13122437452970753,0.081460253,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.8805053,1658.1696220310182,9.847067222,1658.1696220310182,557.7133301,1100.456292,-4.882352941,0.019256922882975328,0.9807389152057616,0.029420270627976277,0.037340578,3.023873048717588,0.000155889,4124646.737093442,3448.8294480585923,12200.611759121904,0.000750941,0.00480329,2.1773800515814005e-07,3.9369237062171106e-07,GOOD,1.939072961544676,1.5277763122781245,,276.0093013,1209.461619
507,Almonds & Pistachios,Sacramento River,106728.7392,4567.321679,0.754238179,3.61367267,0.287448101,0.311217018,0.03090217,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,3263.4839594851824,18.089589278375207,3263.4839594851824,557.7133301,2705.770629,-4.882352941,0.032971256,0.9670247699192128,0.031687177,0.1005589497733364,0.3791378873405038,2.3423868947943123e-05,9482924.194152946,106728.7371104239,385682.6551239365,0.002089576,0.072826661,1.9578382663076388e-08,1.88825311303174e-07,GOOD,3.0498974152879694,0.9610545813701002,,4567.321679,2791.28731
