g,basin,i,p,y,xland,xlandsc,difflandsc,xwater,xwatersc,grev,gross_revenue,revdiff,iterations,statussc,lambdawater,HR_Region,IMPLAN_category,crop_class
CLS01-SC-ColusaCountyWD,CLS,Grapes Wine,730.6198687,7.837965954,1344.662478,1338.045759031578,6.616718968421992,3276.4942385082204,3252.2205387978956,7700308.722977327,7662417.594442371,37891.128534955904,2,Good,78.03947133536947,Sacramento River,Trees and Vine,Trees and vines
CLS01-SC-ColusaCountyWD,CLS,Orchards,2061.666385,2.066393172,135.877132,132.736155678245,3.1409763217549767,426.438033529295,415.5389097698594,578865.5704704351,565484.3412410249,13381.229229410063,2,Good,78.03947133536947,Sacramento River,Trees and Vine,Trees and vines
CLS01-SC-ColusaCountyWD,CLS,Pasture,215.0,3.5,166.062696,101.42551348133398,64.63718251866601,672.0003765353542,409.40915249968316,124962.17873999999,76322.69889470382,48639.47984529617,2,Good,78.03947133536947,Sacramento River,Alfalfa and Pasture,Alfalfa and pasture
CLS01-SC-ColusaCountyWD,CLS,Rice,370.9204663,4.450435008,286.082715,217.64108531992946,68.44162968007055,1287.3722175,976.9364120774782,472253.166924579,359272.6383180444,112980.52860653464,2,Good,78.03947133536947,Sacramento River,Corn,Field and grain
CLS01-SC-ColusaCountyWD,CLS,Subtropical,942.1801854,4.535541375,315.2866013,311.9056755387082,3.380925761291792,786.520726382743,776.1413722379359,1347313.3548165648,1332865.6541814925,14447.70063507231,2,Good,78.03947133536947,Sacramento River,Trees and Vine,Trees and vines
CLS01-SC-ColusaCountyWD,CLS,Sunflowers,3239.762235,0.609912532,576.61912,513.924383186531,62.69473681346892,1239.731108,1102.1750693866952,1139382.9981177086,1015499.9794680134,123883.01864969544,2,Good,78.03947133536947,Sacramento River,Other field and grain,Field and grain
CLS01-SC-ColusaCountyWD,CLS,Tomatoes Processing,77.35725946,46.64298896,386.858406,306.3976500523204,80.46075594767962,986.4889353,779.3607149377636,1395852.3644399706,1105535.9729843433,290316.3914556273,2,Good,78.03947133536947,Sacramento River,Vegetables and non-tree fruits,Vegetables
CLS01-SC-ColusaCountyWD,CLS,Truck,742.4217034,17.44810947,64.679023,64.08343034124977,0.5955926587502347,157.81681612,155.9726596648858,837842.6954330496,830127.4744009163,7715.221032133326,2,Good,78.03947133536947,Sacramento River,Vegetables and non-tree fruits,Vegetables
CLS01-SC-ColusaCountyWD,CLS,Almonds,5165.974452,0.856578131,28944.50708,27914.031005347195,1030.4760746528045,104534.60667448564,100560.95476303659,128081201.94406015,123521282.72168973,4559919.222370416,2,Good,78.03947133536947,Sacramento River,Trees and Vine,Trees and vines
CLS01-SC-ColusaCountyWD,CLS,Pistachios,3834.493456,1.253131426,969.9866864,937.2073506612144,32.779335738785676,4003.3562175572197,3858.3982155483845,4660906.551427552,4503397.770288111,157508.78113944177,2,Good,78.03947133536947,Sacramento River,Trees and Vine,Trees and vines
