g,HR_Region,shortage_pct,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
CHW02-W-WA,San Joaquin River,1.0,Other field and grain,Field and grain,CHW,Cotton,2462.1839,0.78,389.120801,389.15618489491584,1403.42902240304,1403.5566386634089,747307.8376742969,747375.7925662743,2,Good,2.8208150356816893e-06
CHW02-W-WA,San Joaquin River,1.0,Other field and grain,Field and grain,CHW,Field and Grain,187.333843,2.812754651,1787.57203,1787.6950543520657,804.4074135000001,804.462781344938,941914.8513566413,941979.6758573295,2,Good,2.8208150356816893e-06
CHW02-W-WA,San Joaquin River,1.0,Trees and Vine,Trees and vines,CHW,Grapes Table,390.5459,12.435,114.4634197,114.46434463645909,393.754163768,393.7573582111862,555884.53154553,555889.0234423439,2,Good,2.8208150356816893e-06
CHW02-W-WA,San Joaquin River,1.0,Trees and Vine,Trees and vines,CHW,Grapes Wine,510.5784914,8.495282366,3700.983903,3699.6050185663034,12731.38462632,12722.97057384998,16053048.969043277,16047068.046154412,2,Good,2.8208150356816893e-06
CHW02-W-WA,San Joaquin River,1.0,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Fresh,513.5119746,20.19858006,181.0029373,181.0087620457778,253.40411222,253.41228124423012,1877400.9705620026,1877461.3860643122,2,Good,2.8208150356816893e-06
CHW02-W-WA,San Joaquin River,1.0,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Processing,78.52090496,49.10025147,1629.026436,1629.1699080049282,4192.028028096992,4192.397188666793,6280542.297150598,6281095.438570217,2,Good,2.8208150356816893e-06
CHW02-W-WA,San Joaquin River,1.0,Trees and Vine,Trees and vines,CHW,Almonds,5157.824281,1.067695081,11628.12759,11628.220605766035,47772.74433940544,47773.12582933971,64035908.09365518,64036420.32995453,2,Good,2.8208150356816893e-06
CHW02-W-WA,San Joaquin River,1.0,Trees and Vine,Trees and vines,CHW,Pistachios,4636.170568,1.3822934530000002,7985.874881000002,7985.922039013924,30954.00373940704,30954.18611305501,51177864.27883249,51178166.49323882,2,Good,2.8208150356816893e-06
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Alfalfa and Pasture,Alfalfa and pasture,CLS,Alfalfa,187.2098036,5.87624882,379.271176,379.27393623847786,1308.4855572000001,1308.4928722533896,417232.954243433,417235.9907580099,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Other field and grain,Field and grain,CLS,Beans Dry,1054.225767,1.083582552,150.522743,150.53330927194872,310.57859300649244,310.5999087436534,171948.24762533206,171960.31790726626,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Vegetables and non-tree fruits,Vegetables,CLS,Cucurbits,161.7514,13.41,440.391804,440.40420356597303,839.6803731067972,839.7069061036053,955247.8172384981,955274.7129668539,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Other field and grain,Field and grain,CLS,Field and Grain,173.22984259999996,2.485487486,829.400833,829.4184615116812,798.9894688468664,799.0051451653844,357107.32526015554,357114.91540282755,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Grapes Wine,730.6198687000001,7.837965953999999,1344.662478,1344.5271033166855,3276.4942385082204,3275.899924953862,7700308.722977325,7699533.489882142,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Orchards,2061.666385,2.066393172,135.87713200000002,135.8773763503002,426.43803352929507,426.43814189206864,578865.5704704352,578866.611454844,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Alfalfa and Pasture,Alfalfa and pasture,CLS,Pasture,215.0,3.5,166.062696,166.0634038865907,672.0003765353542,672.0020478076635,124962.17873999999,124962.7114246595,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Corn,Field and grain,CLS,Rice,370.9204663,4.450435008,286.082715,286.08479496022204,1287.3722175,1287.3794295019222,472253.166924579,472256.6004343663,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Subtropical,942.1801854,4.535541375,315.2866013000001,315.2869888811173,786.5207263827432,786.52046215806,1347313.3548165653,1347315.0110658733,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Other field and grain,Field and grain,CLS,Sunflowers,3239.762235,0.6099125320000001,576.6191200000002,576.6279818565861,1239.7311080000004,1239.7481806475098,1139382.9981177093,1139400.5088945385,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Vegetables and non-tree fruits,Vegetables,CLS,Tomatoes Processing,77.35725946,46.64298896,386.858406,386.8668759027436,986.4889353,986.508978177179,1395852.3644399706,1395882.9253211296,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Vegetables and non-tree fruits,Vegetables,CLS,Truck,742.4217034,17.44810947,64.679023,64.67909576972374,157.81681612,157.8167690302768,837842.6954330496,837843.6380815106,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Almonds,5165.974452,0.8565781309999999,28944.50708,28944.57596542875,104534.60667448564,104534.68752551217,128081201.94406012,128081506.7662665,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Pistachios,3834.493456,1.253131426,969.9866864,969.9885217222238,4003.3562175572197,4003.357378410861,4660906.551427552,4660915.370378881,2,Good,0.0002314593384539302
CLS01-SC-ColusaCountyWD,Sacramento River,1.0,Trees and Vine,Trees and vines,CLS,Walnuts,1949.323208,2.037882063,699.8903918,699.8909667001644,2474.662603368079,2474.6606778690466,2780308.1428348054,2780310.42662042,2,Good,0.0002314593384539302
CLS02-North-WAs,Sacramento River,1.0,Alfalfa and Pasture,Alfalfa and pasture,CLS,Alfalfa,187.2098036,5.87624882,4096.807543,4096.807244119491,14618.77491457273,14618.756779208468,4506862.6942867655,4506862.365490892,2,Good,0.000158031218386756
