internal_id,crop_code,hr,direct_jobs_unfilitered,direct_value_add,total_jobs_unfiltered,total_revenue,total_value_add,total_jobs,direct_jobs
5,Sunflowers,Sacramento River,1,1,1.222109,1,1.118136,0.000001,0.000001
5,Tomatoes,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
5,Truck,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
5,Walnuts,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
6,Alfalfa,Sacramento River,1,1,1.373747,1,3.221614,0.000001,0.000001
6,Almonds,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
6,Beans Dry,Sacramento River,1,1,1.373747,1,3.221614,0.000001,0.000001
6,Berries,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
6,Corn,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
6,Cucurbits,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
6,Field and Grain,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
6,Grapes,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
6,Lettuce,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
6,Onions and Garlic,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
6,Orchards,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
6,Pasture,Sacramento River,1,1,1.746634,1,1.760549,0.000002,0.000001
6,Pistachios,Sacramento River,1,1,1.199049,1,1.1948,0.000001,0.000001
6,Rice,Sacramento River,1,1,2.297911,1,1.667022,0.000002,0.000001
6,Safflower,Sacramento River,1,1,1.222109,1,1.118136,0.000001,0.000001
6,Subtropical,Sacramento River,1,1,1.68112,1,1.728657,0,0.000001
6,Sunflowers,Sacramento River,1,1,1.222109,1,1.118136,0.000001,0.000001
6,Tomatoes,Sacramento River,1,1,1.93033,1,1.928356,0,0.000001
