g,i,year,xland,p,y,MarginRevenue,pc,pimarginal,xwater,omegaland,omegalabor,omegasupply,theta,sigma,pe,NonIrrigatedAcres,patch_water,omegaland_init,omegasupply,omegalabor,omegawater,omegawater,mprof_init,price_yield_corrections_factor,mprof,MarginalProfit,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status
BTE01-IDs,Tomatoes Processing,2019,774.191738,77.35725946,46.64298896,3608.17379897,77.35725946,77.35725946,2.085555556,307.3158515,1960.523005,744.6913332,1.1100000000000000,0.17,No,0,No,307.3158515,744.6913332,1960.523005,25,52.138888900000000,543.5047203686350,1.121281257742690,543.5047203686350,543.5047203686350,65.9109371686155,477.593783200019,-4.88235294117647,0.15632072394240200,0.3466519617814200,0.13682166624601800,0.36020564803016000,42.876484826092000,0.0011636663848005300,273990.1064778460,774.191802752575,1614.6196895063600,-6.47525749855049E-05,0.0001910888324800910,8.36389382722978E-08,1.18349114102107E-07,GOOD
BTE01-IDs,Truck,2019,55.63443,742.4217034,17.44810947,12953.8551538271,742.4217034,742.4217034,2.56,723.4419324,3254.761862,4012.122706,0.41,0.17,Yes,0,No,723.4419324,4012.122706,3254.761862,25,64.0,4899.528653427070,1.531723963238150,4899.528653427070,4899.528653427070,65.9109371686155,4833.61771625845,-4.88235294117647,0.2930154344287780,0.3283040609989040,0.20907345321053900,0.1696070513617800,16.09869177577750,0.04384019734261500,11059.047518357800,55.63443018478120,142.4241184502560,-1.84781185907923E-07,2.23497438014419E-05,3.32134589871637E-09,1.56923845044126E-07,GOOD
BTE01-IDs,Almonds,2019,2552.898447,5165.974452,0.856578131,4425.06074088791,5165.974452,5165.974452,3.473105762,962.6735903,1333.209787,414.244587,0.4,0.17,No,0,No,962.6735903,414.244587,1333.209787,25,86.82764405,1628.1051325379100,1.506760976173140,1628.1051325379100,1628.1051325379100,65.9109371686155,1562.19419536929,-4.88235294117647,0.061337927190170000,0.8972902535125230,0.009807439011424120,0.03156438028588230,0.5396208771507250,0.0009792790633477160,211639.1297120990,2552.898454174450,8866.484502273390,-7.17445209375001E-06,0.0018038031630567300,2.81031629056023E-09,2.03440585231662E-07,GOOD
BTE01-IDs,Walnuts,2019,16765.31941,1949.323208,2.037882063,3972.49080057282,1949.323208,1949.323208,3.460166062,1016.733954,1085.072261,356.2595846,0.13,0.17,No,0,No,1016.733954,356.2595846,1085.072261,25,86.50415155,1427.9208494228200,1.486822781297200,1427.9208494228200,1427.9208494228200,65.9109371686155,1362.0099122542,-4.88235294117647,0.05968036164981850,0.9051329912692230,0.008697220082104480,0.026489426998853900,1.263661988917390,0.00045882261495832100,2365.7894012720500,16765.3194266065,58010.777272347500,-1.660650013946E-05,0.011968724327744000,9.90526916508056E-10,2.06318936258672E-07,GOOD
BTE02-WAs,Alfalfa,2019,844.261016,187.2098036,5.87624882,1100.09138749693,187.2098036,187.2098036,3.496666667,310.085831,205.0405538,166.0095709,0.2790000000000000,0.17,No,0,No,310.085831,166.0095709,205.0405538,25,87.416666675,331.53876512193200,1.3632197104380000,331.53876512193200,331.53876512193200,65.1981390190497,266.340626102882,-4.88235294117647,0.015862214124595400,0.9749647015445930,0.004104081072115860,0.005069003258695450,2.8083935582692300,0.004245404350970300,3768.892924254270,844.2612419364690,2952.098645795240,-0.0002259364694054970,0.0007070995188769300,2.67614476001693E-07,2.39524295882375E-07,GOOD
BTE02-WAs,Beans Dry,2019,340.32974,1054.225767,1.083582552,1142.34064699002,1054.225767,1054.225767,2.111666667,97.28999715,575.7448786,81.16275023,1.68,0.17,No,0,No,97.28999715,81.16275023,575.7448786,25,52.791666675,335.35135433501700,1.3481510637452000,335.35135433501700,335.35135433501700,65.1981390190497,270.153215315967,-4.88235294117647,0.13868612180745800,0.6507376789562540,0.026017270485102700,0.18455892875118500,0.8820627402346470,0.0017490040548266400,115848.60080596400,340.3307489595700,718.664751484361,-0.0010089595696740600,-0.0017837375843328100,2.964652955907E-06,2.48202240046591E-06,GOOD
BTE02-WAs,Corn,2019,2042.59385,166.7194068,5.454093572,909.303244955533,166.7194068,166.7194068,2.165,80.14758921,507.9998424,79.5524794,0.45000000000000000,0.17,No,0,No,80.14758921,79.5524794,507.9998424,25,54.125,187.47833394553300,1.199741207631780,187.47833394553300,187.47833394553300,65.1981390190497,122.280194926483,-4.88235294117647,0.08347628975760370,0.7332578767834090,0.024813537280059700,0.15845229617892800,4.213412165573910,0.0010879413066979600,20163.4947372666,2042.5967775580500,4422.21982500508,-0.0029275580466219300,-0.004139755079449970,1.4332550970042E-06,9.36126904270599E-07,GOOD
BTE02-WAs,Cotton,2019,891.312038,1657.32655,0.8275,1371.437720125,1657.32655,1657.32655,3.577544803,203.7121439,610.6193958,107.2849489,1.02,0.17,No,0,Yes,203.7121439,107.2849489,610.6193958,25,89.438620075,360.3826114500000,1.291849624038310,360.3826114500000,360.3826114500000,65.1981390190497,295.18447243095,-4.88235294117647,0.012157949741937300,0.9723690382160250,0.0023123154477534500,0.013160696594284500,0.4022857796839550,0.001099942685686860,170161.6148778540,891.3130353907800,3188.71072460646,-0.0009973907796165800,-0.0019752082216655300,1.11901414666698E-06,6.19438266990762E-07,GOOD
BTE02-WAs,Cucurbits,2019,195.081332,161.7514,13.41,2169.086274,161.7514,161.7514,2.205,101.39910033123600,494.93863569560400,1414.4600660853200,0.05,0.17,No,0,No,101.6320487,1417.709564,496.0756788,25,54.998649316407800,98.54398250000000,0.9977079241071720,103.28982257142900,103.28982257142900,65.1981390190497,38.0916835523793,-4.88235294117647,0.04325436988620330,0.5532560981162970,0.2989002923075210,0.10458923968997900,11.429934542991800,0.102521342226636,2.80441055739329E-06,195.0725377008710,430.1303747039880,0.008794299129391450,0.023962356011963900,4.50801675343874E-05,5.57064149945362E-05,GOOD
BTE02-WAs,Field and Grain,2019,583.517739,173.2298426,2.485487486,430.56060598405,173.2298426,173.2298426,1.014166667,81.51658446,209.6822022,48.80951363,0.11100000000000000,0.17,No,0,No,81.51658446,48.80951363,209.6822022,25,25.354166675000000,65.19813901904970,1.1223312656909900,65.19813901904970,65.19813901904970,65.1981390190497,0.0,-4.88235294117647,0.3393321598446770,0.06280996908026690,0.1128900855230200,0.48496778555203700,2.4833615896981500,0.01543913476297760,0.6457436087031720,583.5183143449020,591.784535694949,-0.0005753449015628580,-0.0002951979430463330,9.85993849216738E-07,4.98826975855951E-07,GOOD
