region,crop,hr,xland,p,y,xwater_unit,omegaland,omegawater,omegasupplies,omegalabor,theta,sigma,omegaland_init,omegasupplies_init,omegalabor_init,omegawater_unit,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupplies,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,xratio_labor,xratio_supply
Coachella,Pasture,Colorado River,1257.375693,1504.0,4.5,8.233264788,0.350906068,82.33264788,0.10289172336777223,0.06852420918280822,0.51,0.17,328.209843,177.7241242,145.0367898,10,6684.971365715,77.63242574349765,6684.971365715,1676.850842512,5008.120523203,-4.88235294117647,0.00274290827561329,0.9972569501420256,0.005065432158571915,0.0062070423399710585,1.3477276138821606,0.001559425973192795,452045.99893903197,1257.3756083854437,10352.244474462537,8.461455627184478e-05,0.06254400145917316,6.729456974785401e-08,6.041552027738548e-06,GOOD,2.262942000342034,1.8467377139832826
Coachella,Tomato Processing,Colorado River,138.0530542,99.0,49.0,3.924449153,0.124471553,196.22245765,2.283636824869254,0.28639447182202826,0.74,0.17,657.2463564,2815.18314,996.9547547,50,4653.931115142999,23.443579149252464,4653.931115142999,1676.850842512,2977.080272631,-4.88235294117647,0.02905612864465876,0.9709393640528461,0.006783585214720815,0.019155367498841967,23.940004853738703,0.009788637847835107,78741.19586152308,138.05308298333094,541.7816686807323,-2.8783330947135255e-05,0.0005229435207638744,2.0849470599495984e-07,9.652283313264677e-07,GOOD,0.6592539471827814,0.23346486717761028
Coachella,Truck Crops,Colorado River,8685.421267,167.0,44.0,1.168233956,0.139554281,58.4116978,1.1244727167916924,1.262909809962677,0.41,0.17,7441.94487,27484.23099,27982.75263,50,7288.632795535,117.87813324140895,7288.632795535,1676.850842512,5611.781953023,-4.88235294117647,0.9830582060778736,0.01683174401956906,0.34631902753752,0.32678690578896447,43.91902105533613,0.00028081820274059743,1743538.326979829,8685.422407869683,10146.593307671135,-0.0011408696827857057,0.010738602806668496,1.3135455929125812e-07,1.0583445217429124e-06,GOOD,0.332418674467662,0.35228740820875265
Coachella,Vineyard,Colorado River,292.8316786,2169.868244,6.89108619,4.088997246,0.302297005,204.4498623,0.1329510358537938,0.3058799853780738,0.13,0.17,2773.231975,2743.166444,4105.247296,50,14747.49237164195,69.38001108639334,14747.49237164195,1676.850842512,13070.64152913,-4.88235294117647,0.06931284169186802,0.9306847869402991,0.10451647740864478,0.06890569163698747,4.00029170874075,0.02626870060330861,227.06049153669267,292.8316808760284,1197.3865314773507,-2.276028396863694e-06,0.0013958596064185258,7.77248010783931e-09,1.1657538668549786e-06,GOOD,0.9941259073363267,1.5078948555200695
Imperial,Alfalfa,Colorado River,133154.8505,250.0,7.4,6.349688555,0.306290873,317.48442775,0.13122437452970753,0.08146025298303902,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1531.8508425119999,5.537983428327066,1531.8508425119999,77.971365715,1453.879476797,-4.88235294117647,0.0005807749287302465,0.9994190892024991,0.0008872941788790866,0.0011261649610438572,1.671884916732632,4.037662965962704e-06,210376956.74540997,133154.85386718463,845491.8151633133,-0.003367184632224962,0.01509927271399647,2.528773544171387e-08,1.7858567254644033e-08,GOOD,1.939072961544676,1.5277763122781245
Imperial,Citrus & Subtropical,Colorado River,8969.53428,3257.846743,3.054421647,5.62841404,0.183365181,281.420702,0.09485584338438294,0.7506750003126099,0.13,0.17,2549.235389,1743.692937,5418.931559,50,9668.730654769646,33.593599447903784,9668.730654769646,77.971365715,9590.75928905465,-4.88235294117647,0.00739855510357183,0.9926010600881972,0.010286634372546606,0.0036566161416304575,1.1247234292758816,0.0008576039125531601,5103.260722307527,8969.534283325582,50484.25083860991,-3.3255819289479405e-06,0.0018352033803239465,3.707641695916391e-10,3.6351996575674493e-08,GOOD,0.49423381869050864,1.3903572019867076
Imperial,Corn,Colorado River,48057.08006,544.0,12.0,3.708931611,0.234536008,185.44658055,1.320694044672553,0.03352518541352239,0.3,0.17,423.9938724,1022.014707,159.5840787,50,6341.6736584929995,33.36695609895442,6341.6736584929995,77.971365715,6263.702292778,-4.88235294117647,0.05379127992600063,0.9462032473558862,0.022668121553455975,0.1422758039516083,6.634056111691731,6.936196142528043e-05,3221645.3538217926,48057.08016940405,178240.4172182709,-0.00010940404899884015,0.006148620886960998,2.2765438279281123e-09,3.449622016608779e-08,GOOD,2.644960375498291,0.4214088525991567
Imperial,Cucurbits,Colorado River,4143.317278,516.0,18.5,2.811221224,0.087908733,140.5610612,0.5954029958862788,4.8590594140887005,0.05,0.17,920.9338517,2396.72349,6846.813993,50,9404.468678234,64.23615958635524,9404.468678234,77.971365715,9326.497312519,-4.88235294117647,0.3008558956016171,0.6991158775757256,0.11560297988496862,0.04046675984778615,14.509664279556063,0.004827050080425918,0.003982458145963414,4143.317279265489,11647.781053799392,-1.265488208446186e-06,0.0004158801184530603,3.0542874791791067e-10,3.570466354778746e-08,GOOD,0.13450545739469513,0.38424701518246485
Imperial,Grain,Colorado River,32523.20442,202.0,8.8,2.463802738,0.351483763,123.1901369,0.6729928083090427,0.036299510576689786,0.74,0.17,345.3012994,477.8051109,110.9675411,50,1653.4590649770003,13.637341950410814,1653.4590649770003,77.971365715,1575.487699262,-4.88235294117647,0.14119522600173026,0.8587536071178972,0.10203929160070742,0.43936176661011367,5.980949763678693,4.155037535355354e-05,9818666.48766243,32523.205345890994,80130.75930547225,-0.0009258909958589356,0.0007930574502097443,2.846862762666655e-08,9.897041401262034e-09,GOOD,3.1117324505343373,0.7226823065494933
Imperial,Lettuce,Colorado River,32540.28917,1278.0,9.6,1.381042075,0.164570286,69.05210375,0.680529189238487,1.2720462492145637,0.25,0.17,2859.243032,5814.317411,7949.261967,50,12198.791131605,166.90130402687572,12198.791131605,77.971365715,12120.81976589,-4.88235294117647,0.973290527896257,0.02664626708155019,0.4786243944840362,0.35007956276316926,9.558085373087188,0.00012292453761252178,1806015.108042908,32540.289218328457,44939.50693081504,-4.832845661439933e-05,0.0015456217879545875,1.4851882957129642e-09,3.439338435944409e-08,GOOD,0.35968660202607483,0.49175901826412594
Imperial,Onions & Garlic,Colorado River,10995.11091,230.0,26.9,3.522556052,0.178481578,176.1278026,0.8220938475297447,0.4158621200492846,0.41,0.17,887.6914461,1905.136225,1355.002253,50,6010.038223799999,33.29747857933714,6010.038223799999,77.971365715,5932.066858085,-4.88235294117647,0.06800181257871117,0.931990770942348,0.031685202600205166,0.04454946632149781,15.603019170162069,0.0002218280843375233,2333177.293266138,10995.110947610672,38730.89318908076,-3.761067273444496e-05,0.0012893509701825678,3.4206724281642523e-09,3.328998690956067e-08,GOOD,0.6551217479671209,0.46594644170006466
Imperial,Pasture,Colorado River,95317.93026,46.0,3.5,8.233264788,0.350906068,82.33264788,0.10289172336777223,0.06852420918280822,0.51,0.17,328.209843,177.7241242,145.0367898,10,77.97136571499999,1.8467524445483334,77.97136571499999,77.971365715,0.0,-4.88235294117647,3.222204394768203e-05,0.9999676359888504,5.950566377981118e-05,7.291661658607651e-05,0.4876940689180235,2.057099129594015e-05,2400.9208890823165,95317.92578885471,784777.4350365197,0.004471145279239863,0.3238381779519841,4.690770421728483e-08,4.1264953585883936e-07,GOOD,2.262942000342034,1.8467377139832826
