g,i,hr,xland,p,y,xwater_unit,omegaland,omegasupplies,omegalabor,theta,sigma,omegaland_init,omegasupplies_init,omegalabor_init,omegawater_unit,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupplies,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,year
SACRAMENTO VALLEY - BUTTE - BTE01-IDs,Truck Crops,Sacramento River,59.07580698,4569.754449,5.564927083,2.662234731,0.139554281,0.396137579,0.419814805,0.33,0.17,7441.94487,27484.23099,27982.75263,50,133.11173655,25296.28305268480,180.65099761431200,25296.28305268480,412.0731453006,24884.2099073842,-4.88235294117647,0.6145655483185220,0.38541462847437600,9.62398961427328E-06,1.01992174876147E-05,5.042244147194350,0.05129516100099880,23431.81931830640,59.07580696534190,157.2736415668250,1.46581129456536E-08,2.35371835231035E-05,2.48123786960981E-10,1.49657499922431E-07,GOOD,1
SACRAMENTO VALLEY - COLUSA - CLS01-SC-ColusaCountyWD,Alfalfa,Sacramento River,11261.861,267.2211901,6.652,3.537610105,0.306290873,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50,176.88050525,1600.0101215572000,9.53509038691352,1600.0101215572000,392.0137242762,1207.996397281,-4.88235294117647,0.018594177026693300,0.9814016582495950,2.32940705055227E-06,1.83531666113917E-06,3.004903836173410,4.77393930365639E-05,14784518.726123400,11261.859937687300,39840.06179010470,0.001062312736394230,0.011484600683616000,9.43283473658779E-08,2.88267559259426E-07,GOOD,1
SACRAMENTO VALLEY - COLUSA - CLS01-SC-ColusaCountyWD,Almonds & Pistachios,Sacramento River,223442.6209,4634.385887,1.039125,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,180.6836335,4634.341808237880,25.288238584163500,4634.341808237880,392.0137242762,4242.32808396168,-4.88235294117647,0.04618039305762740,0.953815687572507,2.98025905883739E-06,9.39110806746588E-07,0.5578689423416520,1.11885547615325E-05,31126012.030475700,223442.619526624,807448.3407433280,0.0013733759988099300,0.15171617327723700,6.14643702834374E-09,1.87895791117408E-07,GOOD,1
SACRAMENTO VALLEY - COLUSA - CLS01-SC-ColusaCountyWD,Citrus & Subtropical,Sacramento River,1868.061581,959.8107757,3.76,2.972946835,0.183365181,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50,148.64734175,3459.5549172240000,23.01582963333130,3459.5549172240000,392.0137242762,3067.5411929478,-4.88235294117647,0.10227206168996700,0.8977130724889120,3.89856019683463E-06,1.09672609240081E-05,2.37750464439346,0.004117801988192430,339.95710339827500,1868.0615784493600,5553.646756564100,2.55064151133411E-06,0.0010082549506478200,1.3653947692499E-09,1.81548235204052E-07,GOOD,1
SACRAMENTO VALLEY - COLUSA - CLS01-SC-ColusaCountyWD,Corn,Sacramento River,12082.59918,227.1980417,6.0795,2.826875063,0.234536008,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50,141.34375315,1239.0269804081500,9.24936125859834,1239.0269804081500,392.0137242762,847.01325613195,-4.88235294117647,0.05202733389667210,0.9479455779274950,2.33654678852831E-05,3.72270794798753E-06,3.392940717057060,0.0002758788306783290,109557.92449155500,12082.59907429350,34155.99137625880,0.0001057065401255390,0.006941907427972180,8.74865900546563E-09,2.03241239307593E-07,GOOD,1
SACRAMENTO VALLEY - COLUSA - CLS01-SC-ColusaCountyWD,Cotton,Sacramento River,1167.404571,1698.847366,0.768,2.633766816,0.148539114,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50,131.6883408,1172.354428748,9.387898396857390,1172.354428748,392.0137242762,780.3407044718,-4.88235294117647,0.07298462390092060,0.926982791835122,2.77148114573114E-05,4.8694525000601E-06,0.4592329490924400,0.001259707450035430,142373.4039660330,1167.4045559817100,3074.670795596830,1.50182918332575E-05,0.0006243496891329410,1.28646847942293E-08,2.03062247589306E-07,GOOD,1
SACRAMENTO VALLEY - COLUSA - CLS01-SC-ColusaCountyWD,Cucurbits,Sacramento River,6312.222009,202.6283347,12.01,1.97136542,0.087908733,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50,98.568271,2334.027768181,23.284271465251400,2334.027768181,392.0137242762,1942.0140439048,-4.88235294117647,0.462702283625931,0.5371228037884900,4.53524533783448E-05,0.00012956013220113500,10.344317035693200,0.0031684563647292300,0.0012633819166281900,6312.2220121385100,12443.693941871500,-3.13851342070848E-06,0.002250034032840630,4.97212141181595E-10,1.80817178283752E-07,GOOD,1
SACRAMENTO VALLEY - COLUSA - CLS01-SC-ColusaCountyWD,Dry Beans,Sacramento River,4017.201241,1229.646972,1.209,2.293810917,0.272510229,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,50,114.69054585,1371.090432272,12.252850512695100,1371.090432272,392.0137242762,979.0767079958,-4.88235294117647,0.17190766799307000,0.8280184098629920,6.06118222957996E-05,1.33103216415637E-05,0.8569980432038160,0.00014817233679085600,3644700.3686544300,4017.201259758660,9214.698371732520,-1.87586606443801E-05,0.0016906592318264300,4.6695844990107E-09,1.83474146784937E-07,GOOD,1
SACRAMENTO VALLEY - COLUSA - CLS01-SC-ColusaCountyWD,Grain,Sacramento River,20557.95647,207.4067917,2.887666667,0.78906264,0.351483763,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,39.453132000000000,558.5177487785020,14.117478107138600,558.5177487785020,392.0137242762,166.504024502302,-4.88235294117647,0.97725299795618,0.021699025664149100,0.0008504614953273650,0.00019751488434334100,2.9151246925263800,6.5733739310294E-05,657154.9372068610,20557.963777298600,16221.518146123300,-0.007307298645173430,-0.0027409000340412600,3.55448687511178E-07,1.68966953183591E-07,GOOD,1
SACRAMENTO VALLEY - COLUSA - CLS01-SC-ColusaCountyWD,Onions & Garlic,Sacramento River,188.4021885,216.2659801,21.192,2.113494575,0.178481578,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50,105.67472875000000,4476.5999479292000,40.98130279415880,4476.5999479292000,392.0137242762,4084.586223653,-4.88235294117647,0.5230983036421360,0.47682510405602000,4.4758457270486E-05,3.18338445729846E-05,18.64749174422680,0.012945838950506200,27528.46597723650,188.40218872761100,398.18694490411300,-2.27611479886036E-07,5.84087646871012E-05,1.20811484037531E-09,1.46686768280094E-07,GOOD,1
