g,i,applied_water_unit,fallow_2018,fallow_2021,fallow_net_2021,applied_shortage_2021,fallow_2022,fallow_net_2022,applied_shortage_2022,year
CRN01-IDs,Pasture,4.096666667,16.22591,137.88073,121.65482,498.37924597388496,193.26998,177.04407,725.2905401590148,2022
CRN01-IDs,Pistachios,2.5,0,0,0,0,0,0,0,2022
CRN01-IDs,Rice,4.5,25.03238,83.33446,58.302080000000004,262.35936000000004,83.33446,58.302080000000004,262.35936000000004,2022
CRN01-IDs,Subtropical,2.381140963,0,0,0,0,0,0,0,2022
CRN01-IDs,Truck,2.5,0,0,0,0,0,0,0,2022
CRN01-IDs,Walnuts,3.465095662,24.92766,0,-24.92766,-86.37672653,0,-24.92766,-86.37672653,2022
CRN01-IDs,Young Perennial,2.5,0,0,0,0,0,0,0,2022
CRN02-WAs,Alfalfa,3.686666667,3.85138,326.6337,322.78231999999997,1189.9908198409273,261.62466,257.77328,950.3241590192578,2022
CRN02-WAs,Almonds,3.461236886,0,255.50839,255.50839,884.3750641504735,764.11683,764.11683,2644.7893572093917,2022
CRN02-WAs,Beans Dry,2.093333333,0,30.18564,30.18564,63.188606389938116,0,0,0,2022
CRN02-WAs,Berries,2.788699735,5.17392,0,-5.17392,-14.42850933,0,-5.17392,-14.42850933,2022
CRN02-WAs,Corn,2.236666667,12.10562,138.67339,126.56777000000001,283.08991227552264,81.07456,68.96894,154.2605292,2022
CRN02-WAs,Cotton,2.74,0,0,0,0,0,0,0,2022
CRN02-WAs,Cucurbits,2.146666667,0,17.54603,17.54603,37.66547774,69.19102,69.19102,148.5300562897303,2022
CRN02-WAs,Fallow,2.5,74.86949,12.4865,-62.38299,-155.957475,0.39686,-74.47263,-186.181575,2022
CRN02-WAs,Field and Grain,1.29,40.01078,9.22645,-30.78433,-39.7117857,75.54497,35.53419000000001,45.83910510000001,2022
CRN02-WAs,Grapes,2.5,0,0,0,0,0,0,0,2022
CRN02-WAs,Orchards,2.717280254,74.55658,309.88898,235.3324,639.4640836464296,257.01712,182.46053999999998,495.7964224761771,2022
CRN02-WAs,Pasture,4.096666667,377.83082,519.66397,141.83314999999993,581.0431378806107,336.70417,-41.12665,-168.4821762,2022
CRN02-WAs,Pistachios,3.921662535,0,0,0,0,0,0,0,2022
CRN02-WAs,Subtropical,2.362820402,76.74472,633.10463,556.35991,1314.578546202884,1136.34895,1059.6042300000001,2503.654492689501,2022
CRN02-WAs,Sunflowers,2.81,0,0,0,0,0,0,0,2022
CRN02-WAs,Truck,2.5,0,0,0,0,0,0,0,2022
CRN02-WAs,Walnuts,3.453683256,235.94711,167.31845,-68.62866,-237.0216539,158.20143,-77.74568,-268.5089532,2022
CRN02-WAs,Young Perennial,2.5,83.7162,0,-83.7162,-209.2905,7.5454,-76.1708,-190.427,2022
CSM01-IDs,Fallow,2.5,0,0,0,0,0,0,0,2022
CSM02-WAs,Alfalfa,3.98,0,38.92666,38.92666,154.9281068,87.61678,87.61678,348.71478440000004,2022
CSM02-WAs,Almonds,4.058182997,43.0709,0,-43.0709,-174.789594,0,-43.0709,-174.789594,2022
CSM02-WAs,Berries,2.5,0,0,0,0,0,0,0,2022
CSM02-WAs,Corn,2.318333333,0,10.03829,10.03829,23.27210231332057,256.94852,256.94852,595.6923187810171,2022
CSM02-WAs,Fallow,2.5,0,4.90354,4.90354,12.258849999999999,0,0,0,2022
CSM02-WAs,Field and Grain,0.803333333,0,67.19759,67.19759,53.98206394426747,36.20958,36.20958,29.088362587930142,2022
CSM02-WAs,Grapes,2.518333333,180.36605,217.25801,36.89196000000001,92.90625258770271,319.17442,138.80837,349.5657450703972,2022
CSM02-WAs,Orchards,3.53712987,0,7.54605,7.54605,26.69135886,27.958,27.958,98.89107690545998,2022
CSM02-WAs,Pasture,4.38,0,211.79774,211.79774,927.6741012,80.11531,80.11531,350.90505779999995,2022
CSM02-WAs,Pistachios,2.5,0,0,0,0,0,0,0,2022
CSM02-WAs,Subtropical,2.933706402,0,9.3103,9.3103,27.313686714540598,9.3103,9.3103,27.313686714540598,2022
CSM02-WAs,Tomatoes,2.746666667,0,0,0,0,0,0,0,2022
CSM02-WAs,Truck,2.631666667,0,0,0,0,0,0,0,2022
CSM02-WAs,Walnuts,3.710187132,144.08892,4.08343,-140.00549,-519.4465674,115.17681,-28.91211,-107.2693385,2022
CSM02-WAs,Young Perennial,2.5,0,0,0,0,0,0,0,2022
DLM01-CC-IDs,Alfalfa,4.296666667,537.04727,4513.47731,3976.43004,17085.39440652548,5136.2291,4599.1818299999995,19761.151264433058,2022
DLM01-CC-IDs,Almonds,4.038242182,4971.39362,1237.30355,-3734.09007,-15079.16003,1173.05896,-3798.33466,-15338.59525,2022
DLM01-CC-IDs,Beans Dry,1.761666667,197.80951,1615.7707,1417.96119,2497.974963522654,1000.19618,802.3866700000001,1413.537850584129,2022
DLM01-CC-IDs,Berries,2.5,0,0,0,0,0,0,0,2022
DLM01-CC-IDs,Corn,1.89,1028.60025,3979.55109,2950.95084,5577.297088,4208.22667,3179.62642,6009.4939337999995,2022
DLM01-CC-IDs,Cotton,3.356666667,882.47525,12167.61682,11285.14157,37880.45854039505,9009.90607,8127.430820000001,27281.07612184248,2022
DLM01-CC-IDs,Cucurbits,2.32,304.53721,984.13904,679.6018300000001,1576.6762456000001,471.21406,166.67685,386.690292,2022
DLM01-CC-IDs,Fallow,2.5,1045.16109,1925.22887,880.0677799999999,2200.1694499999994,1244.32038,199.15928999999983,497.89822499999957,2022
DLM01-CC-IDs,Field and Grain,0.753333333,311.10439,138.3671,-172.73729,-130.1287584,220.60459,-90.4998,-68.17651597,2022
DLM01-CC-IDs,Grapes,2.62,25.65541,80.07706,54.42165,142.584723,9.81248,-15.84293,-41.5084766,2022
DLM01-CC-IDs,Lettuce,2.57212037,0,0,0,0,0,0,0,2022
DLM01-CC-IDs,Onions and Garlic,2.933333333,0,276.20778,276.20778,810.2094879079308,96.47376,96.47376,282.9896959678421,2022
DLM01-CC-IDs,Orchards,3.433623126,100.05629,809.45617,709.39988,2435.811833549625,764.75746,664.70117,2282.3333091912577,2022
DLM01-CC-IDs,Pasture,5.373333333,462.84565,517.50731,54.66165999999998,293.7153197151127,1044.84488,581.9992300000001,3127.2758623393343,2022
DLM01-CC-IDs,Pistachios,3.796879957,556.83636,293.30823,-263.52813,-1000.584675,95.46435,-461.37201,-1751.774137,2022
DLM01-CC-IDs,Rice,4.5,32.3863,479.49547,447.10917,2011.991265,1248.84195,1216.45565,5474.050425,2022
DLM01-CC-IDs,Subtropical,3.786067839,0.7573,0.7573,0,0,0.7573,0,0,2022
DLM01-CC-IDs,Tomatoes,2.125,156.17283,3372.83466,3216.66183,6835.406389,3566.46958,3410.29675,7246.880594,2022
DLM01-CC-IDs,Truck,1.003333333,0,76.45675,76.45675,76.71160580784775,168.00258,168.00258,168.56258854399914,2022
DLM01-CC-IDs,Walnuts,3.700079648,187.2943,240.07805,52.78375,195.30407912011998,325.94677,138.65247000000002,513.0251823919307,2022
DLM01-CC-IDs,Young Perennial,2.5,95.87233,637.71769,541.8453599999999,1354.6133999999997,475.24864,379.37631,948.440775,2022
DLM02-NE-WAs,Alfalfa,4.296666667,0,385.35871,385.35871,1655.7579240951195,415.29096,415.29096,1784.3668249384305,2022
DLM02-NE-WAs,Almonds,4.110607908,38.19181,57.43439,19.242580000000004,79.09870151832267,57.43439,19.242580000000004,79.09870151832267,2022
DLM02-NE-WAs,Beans Dry,1.761666667,0,286.53226,286.53226,504.77433146217743,290.65222,290.65222,512.0323276635507,2022
DLM02-NE-WAs,Corn,1.89,0,43.48046,43.48046,82.1780694,190.73095,190.73095,360.4814955,2022
DLM02-NE-WAs,Cucurbits,2.32,0,27.06387,27.06387,62.7881784,171.85689,171.85689,398.70798479999996,2022
DLM02-NE-WAs,Fallow,2.5,0,13.33645,13.33645,33.341125,13.33645,13.33645,33.341125,2022
DLM02-NE-WAs,Field and Grain,0.753333333,0,0,0,0,0,0,0,2022
DLM02-NE-WAs,Onions and Garlic,2.933333333,0,0,0,0,0,0,0,2022
DLM02-NE-WAs,Orchards,2.5,0,0,0,0,0,0,0,2022
DLM02-NE-WAs,Pasture,2.5,0,0,0,0,0.76789,0.76789,1.919725,2022
DLM02-NE-WAs,Tomatoes,2.125,0,253.42146,253.42146,538.5206025,202.04484,202.04484,429.345285,2022
DLM02-NE-WAs,Walnuts,3.736759963,0,238.37043,238.37043,890.7330791870941,238.37043,238.37043,890.7330791870941,2022
DLM02-NE-WAs,Young Perennial,2.5,0,0,0,0,0,0,0,2022
DLM03-NW,Alfalfa,4.296666667,0,144.28118,144.28118,619.9281367814272,59.1498,59.1498,254.1469740197166,2022
DLM03-NW,Almonds,3.977369147,1267.85468,492.60664,-775.24804,-3083.447636,792.75379,-475.10089,-1889.651622,2022
DLM03-NW,Beans Dry,1.761666667,0,320.36164,320.36164,564.3704226,430.78379,430.78379,758.8974435,2022
DLM03-NW,Corn,1.89,141.70046,104.49824,-37.20222,-70.3121958,250.72889,109.02843000000001,206.0637327,2022
DLM03-NW,Cucurbits,2.32,58.29935,75.55246,17.25311,40.02721519999999,434.34073,376.04138,872.4160016,2022
DLM03-NW,Fallow,2.5,68.32013,199.80318,131.48305,328.707625,172.20401,103.88388,259.7097,2022
DLM03-NW,Field and Grain,0.753333333,116.01671,542.86513,426.84842000000003,321.5591429243839,232.46215,116.44544,87.72223142785153,2022
DLM03-NW,Grapes,2.62,0,82.10591,82.10591,215.1174842,21.40341,21.40341,56.076934200000004,2022
DLM03-NW,Lettuce,2.57212037,74.81238,75.9244,1.1120200000000011,2.860249293847403,0,-74.81238,-192.4264465,2022
DLM03-NW,Onions and Garlic,2.933333333,0,79.67919,79.67919,233.7256239734403,0,0,0,2022
DLM03-NW,Orchards,3.398501297,661.47787,1291.93261,630.45474,2142.601251589798,1159.60256,498.12469,1692.877405032723,2022
DLM03-NW,Pasture,5.373333333,663.94516,663.94516,0,0,663.94516,0,0,2022
DLM03-NW,Pistachios,3.728127493,0,0,0,0,0,0,0,2022
DLM03-NW,Subtropical,3.713242412,52.87018,0,-52.87018,-196.3197947,29.57934,-23.29084,-86.4845349,2022
DLM03-NW,Tomatoes,2.125,84.87898,866.40432,781.52534,1660.741348,382.08302,297.20403999999996,631.5585849999999,2022
DLM03-NW,Truck,2.5,0,0,0,0,0,0,0,2022
DLM03-NW,Walnuts,3.669224682,21.19774,150.86601,129.66826999999998,475.78201675624007,427.90829,406.71055,1492.312388489795,2022
DLM03-NW,Young Perennial,2.5,878.38542,0,-878.38542,-2195.96355,0,-878.38542,-2195.96355,2022
