g,i,year,xwater,omegaland,omegasupply,omegalabor,p,y,xland
16,HAY,2009,2.173547073,85.9294801,282.7679398,31.9737602,142.74,4.9,200.127363
16,HAY,2010,1.831228414,94.11840011,309.7151998,35.02080022,153.216,5,198.806241
16,HAY,2011,2.150385211,155.4262768,511.4608865,57.8330335,243.288,5.2,207.778227
16,HAY,2012,2.27256524,150.8166522,496.2920056,56.11782435,250.526,4.9,207.778223
16,HAY,2013,1.863158244,140.3864002,461.9691997,52.23680033,215.6,5.3,214.455113
16,HAY,2014,2.129464594,130.4948153,429.4189844,48.55621059,225.993,4.7,214.455113
16,HAY,2015,2.405254828,115.6900013,380.7008174,43.04744255,181.089,5.2,214.455091
16,HAY,2016,2.585712201,90.21301725,296.8637655,33.5676345,141.21,5.2,254.339852
16,HAY,2017,2.35073337,102.7077853,337.9802695,38.21685052,160.768,5.2,254.339853
16,HAY,2018,2.381595544,101.7257144,334.7485712,37.85142881,184,4.5,254.339853
17,HAY,2008,2.653125044,83.05717838,273.3160632,30.90499676,260.018,2.6,1257.533438
17,HAY,2009,2.571189703,85.9294801,282.7679398,31.9737602,142.74,4.9,1439.851291
17,HAY,2010,2.233957611,54.58867206,179.6348159,20.31206413,153.216,2.9,2286.738619
17,HAY,2011,2.424751168,59.77933721,196.7157256,22.24347442,243.288,2,2286.738619
17,HAY,2012,2.35568941,121.576689,400.072127,45.237838,250.526,3.95,2343.25454
17,HAY,2013,2.317997641,78.13960009,257.1337998,29.07520018,215.6,2.95,2343.254533
17,HAY,2014,2.63398655,74.96510666,246.6875017,27.89399332,225.993,2.7,2181.126143
17,HAY,2015,2.738113422,47.83336591,157.4051457,17.79846183,181.089,2.15,2181.125921
17,HAY,2016,2.667047342,52.04597149,171.267557,19.36594298,141.21,3,2181.125921
17,HAY,2017,2.523645276,102.7077853,337.9802695,38.21685052,160.768,5.2,2067.648159
17,HAY,2018,2.536167671,47.47200006,156.2159999,17.66400011,184,2.1,2067.648169
18,HAY,2008,2.571014536,102.2242195,336.3890009,38.03691909,260.018,3.2,2969.886975
18,HAY,2009,2.507390976,85.9294801,282.7679398,31.9737602,142.74,4.9,3087.191591
18,HAY,2010,2.283197148,66.82406408,219.8977918,24.86476816,153.216,3.55,3087.191591
18,HAY,2011,2.357105826,155.4262768,511.4608865,57.8330335,243.288,5.2,2934.644227
18,HAY,2012,2.399984363,150.8166522,496.2920056,56.11782435,250.526,4.9,3130.710106
18,HAY,2013,2.277072174,140.3864002,461.9691997,52.23680033,215.6,5.3,3130.710103
18,HAY,2014,2.548122954,130.4948153,429.4189844,48.55621059,225.993,4.7,3059.11242
18,HAY,2015,2.576837695,115.6900013,380.7008174,43.04744255,181.089,5.2,3059.112146
18,HAY,2016,2.576837695,90.21301725,296.8637655,33.5676345,141.21,5.2,3059.112153
18,HAY,2017,2.421520898,102.7077853,337.9802695,38.21685052,160.768,5.2,2844.145908
18,HAY,2018,2.395126192,101.7257144,334.7485712,37.85142881,184,4.5,2844.145965
20,HAY,2017,1.981155621,102.7077853,337.9802695,38.21685052,160.768,5.2,25.874034
20,HAY,2018,2.140446059,101.7257144,334.7485712,37.85142881,184,4.5,25.874034
22,HAY,2008,2.026359851,140.5583019,462.5348762,52.30076376,260.018,4.4,2701.724434
22,HAY,2009,1.861008782,85.9294801,282.7679398,31.9737602,142.74,4.9,2677.44469
22,HAY,2010,1.421079408,94.11840011,309.7151998,35.02080022,153.216,5,2677.44469
22,HAY,2011,1.796337155,155.4262768,511.4608865,57.8330335,243.288,5.2,4600.543312
22,HAY,2012,1.934208057,150.8166522,496.2920056,56.11782435,250.526,4.9,4600.543375
22,HAY,2013,1.516707812,140.3864002,461.9691997,52.23680033,215.6,5.3,4992.125203
22,HAY,2014,1.758117776,130.4948153,429.4189844,48.55621059,225.993,4.7,4992.125203
22,HAY,2015,2.075995503,115.6900013,380.7008174,43.04744255,181.089,5.2,4992.12474
22,HAY,2016,2.090800925,90.21301725,296.8637655,33.5676345,141.21,5.2,5743.096618
22,HAY,2017,1.869090067,102.7077853,337.9802695,38.21685052,160.768,5.2,5743.096628
22,HAY,2018,2.115035039,101.7257144,334.7485712,37.85142881,184,4.5,5743.096626
23,HAY,2008,2.574218851,140.5583019,462.5348762,52.30076376,260.018,4.4,9836.494137
23,HAY,2009,2.253829113,85.9294801,282.7679398,31.9737602,142.74,4.9,12669.42716
23,HAY,2010,1.885304237,102.5890561,337.5895678,38.17267224,153.216,5.45,12669.42716
23,HAY,2011,2.364391697,65.75727093,216.3872981,24.46782187,243.288,2.2,14660.05502
23,HAY,2012,2.299604676,72.33043523,238.0175945,26.91365045,250.526,2.35,19958.92654
23,HAY,2013,2.010065241,140.3864002,461.9691997,52.23680033,215.6,5.3,20553.71658
23,HAY,2014,2.302246906,130.4948153,429.4189844,48.55621059,225.993,4.7,21697.09256
23,HAY,2015,2.614000105,115.6900013,380.7008174,43.04744255,181.089,5.2,21706.89517
23,HAY,2016,2.627201352,55.51570292,182.6853942,20.65700584,141.21,3.2,21627.03377
23,HAY,2017,2.341459035,102.7077853,337.9802695,38.21685052,160.768,5.2,22396.6931
23,HAY,2018,2.486348854,45.21142862,148.7771428,16.82285725,184,2,22392.92059
24,HAY,2008,2.244623985,140.5583019,462.5348762,52.30076376,260.018,4.4,1583.344557
24,HAY,2009,2.125011389,85.9294801,282.7679398,31.9737602,142.74,4.9,1657.032556
24,HAY,2010,1.589774707,102.5890561,337.5895678,38.17267224,153.216,5.45,1657.032556
24,HAY,2011,2.098400108,65.75727093,216.3872981,24.46782187,243.288,2.2,2225.467938
24,HAY,2012,2.081711879,72.33043523,238.0175945,26.91365045,250.526,2.35,2225.467916
24,HAY,2013,1.796381964,140.3864002,461.9691997,52.23680033,215.6,5.3,2243.338318
24,HAY,2014,2.006274411,130.4948153,429.4189844,48.55621059,225.993,4.7,2243.338318
24,HAY,2015,2.386893827,115.6900013,380.7008174,43.04744255,181.089,5.2,2112.973306
