g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,sigma,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
1,Truck,Sacramento River,39.18946079,750.0942005,17.60330131,2.662234731,736.5300735,133.1117366,4084.707976,3313.645347,0.41,0.17,50,4936.139089235053,1.5209691979277695,4936.139089235053,20.502886,4915.636203,-4.882352941,0.19604696699087185,0.5482665672393403,0.14116716254119138,0.1145193032285967,14.990241570903274,0.062236742763918565,7923.430272,39.18933809661296,104.33122324603654,0.000122693,0.000320358,3.130775074930419e-06,3.070579165995893e-06,GOOD,750.0942005,4936.139089
1,Walnuts,Sacramento River,2185.280515,1949.323208,2.037882063,4.942462794,1016.733954,247.1231397,356.2595846,1085.072261,0.13,0.17,50,1267.3018612728183,1.3985435608623673,1267.3018612728183,20.502886,1246.798975,-4.882352941,0.003758739,0.9938693239131875,0.000586281,0.001785656,0.7273296470272368,0.003520055,293.4340978815298,2185.2750980369174,10800.640863511595,0.005416963,0.026776329,2.4788410665679157e-06,2.479136471554576e-06,GOOD,1949.323208,1267.301861
10,Alfalfa,San Joaquin River,37418.86257,205.8588937,7.063149253,4.134965358,409.846448,41.349653579999995,219.4180648,271.0060707,1.86,0.17,10,512.3918541805614,1.4706283549537853,512.3918541805614,64.81689691,447.5749573,-4.882352941,0.021099394,0.9676804565093561,0.005019948,0.006200202,3.5178266505955857,1.4368005109625932e-05,34858298.98869996,37419.41725,154727.9927801879,-0.554675181,-2.292317475,1.4823411055523895e-05,1.481536337027769e-05,GOOD,205.8588937,512.3918542
10,Almonds,San Joaquin River,100217.7711,5157.824281,1.067695081,4.125499535,1198.04631,206.2749768,515.5269696,1659.178231,0.4,0.17,50,1927.9571261360625,1.4654114232167907,1927.9571261360625,64.81689691,1863.140229,-4.882352941,0.014610796863303533,0.9752247306488444,0.002409549,0.007754923,0.5045533819266457,2.494567552800024e-05,10072988.104820384,100217.86058412369,413448.73656144016,-0.089484124,-0.368489654,8.928967657685765e-07,8.912591804522795e-07,GOOD,5157.824281,1927.957126
10,Beans Dry,San Joaquin River,7330.340145,1415.3103,1.200351344,2.212101358,144.6880326,110.6050679,120.7038647,856.238012,1.68,0.17,50,466.6346435820433,1.3130377706758296,466.6346435820433,64.81689691,401.8177467,-4.882352941,0.088284039,0.7706310994256601,0.017431423934428772,0.12365343738612299,0.9001644800978461,8.120197473293312e-05,3711244.3368430277,7330.494146208281,16215.796031477905,-0.154001208,-0.340642121,2.100873973571022e-05,2.1007249769333177e-05,GOOD,1415.3103,466.6346436
10,Corn,San Joaquin River,33495.4245,44.88630607,26.76544219,2.415829265,105.8936729,120.7914633,105.1073939,671.1863659,0.3,0.17,50,198.4229342892312,1.1407939129085103,198.4229342892312,64.81689691,133.6060374,-4.882352941,0.030309024496526064,0.8923744373112359,0.010468382274320556,0.066848156,17.32677169346654,9.951607967629528e-05,85854.57846741746,33495.71123301617,80919.91930966901,-0.286733016,-0.692558971,8.560363704839752e-06,8.558645439718235e-06,GOOD,44.88630607,198.4229343
10,Cotton,San Joaquin River,56278.45394,2462.1839,0.78,3.634047537,285.2698798,181.70237684999998,150.2373098,855.0856041,0.68,0.17,50,448.2082714500001,1.2423126379335911,448.2082714500001,64.81689691,383.3913745,-4.882352941,0.007285107,0.9827297478630833,0.001492198,0.008492946,0.34665738424719866,2.613057275635098e-05,5880156.3491076045,56278.84504086891,204519.9978516399,-0.391100869,-1.420924815,6.949389002887445e-06,6.947656473667555e-06,GOOD,2462.1839,448.2082715
10,Cucurbits,San Joaquin River,7387.484592,252.19315,13.35,2.299627126,155.96046449341188,113.67724543155478,2175.5602197305484,761.2578346301987,0.05,0.17,50,123.53817229999996,0.9886580667474244,160.32278821428608,64.81689691,95.50589131,-4.882352941,0.031762985669367895,0.6733048325738872,0.21848228602230518,0.076449896,10.691978016303098,0.002707281,0.000191451,7385.574116563004,16982.908899755086,1.9104754369955117,5.551060915153357,0.00025861,0.000326755,GOOD,252.19315,160.3227882
10,Field and Grain,San Joaquin River,35945.29395,187.333843,2.812754652,0.483631303,99.76076638,24.18156515,59.73354402,256.6110606,0.74,0.17,50,86.63720222528774,1.1397851526700795,86.63720222528774,64.81689691,21.82030532,-4.882352941,0.370249012,0.001384284,0.11865089416575451,0.5097158103128504,2.8391441466752245,3.759466686323625e-05,837250.2607350112,35946.789272699985,17384.992509007607,-1.4953227,-0.723159251,4.159995748166613e-05,4.159848403987256e-05,GOOD,187.333843,86.63720223
10,Grapes,San Joaquin River,4908.059924,447.1747228,10.57632504,3.098484515,1478.428428,154.9242258,1571.365603,1181.295692,0.13,0.17,50,343.4512692546987,1.0269581084801613,343.4512692546987,64.81689691,278.6343723,-4.882352941,0.042068194,0.8943713581525444,0.036283687209651444,0.027276760614338553,6.719687444202011,0.001567281,511.5801785247689,4908.062405572934,15207.55534061977,-0.002481573,-0.007667414,5.05611783949054e-07,5.041847546613249e-07,GOOD,447.1747228,343.4512693
