g,i,hr,xland,p,y,xwater,omegaland,omegawater_x,omegasupply,omegalabor,theta,omegawater,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,sigma,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
11,Alfalfa,San Joaquin River,5309.822233,290.4258221,6.981811447,4.134965358,571.5529894,41.34965358,305.9903334,377.9325916,1.86,10,0.281872792,0.186385019,0.150905255,730.8727613,1.489129543,730.8727613,0.17,68.61215883,662.2606024,-4.882352941,0.02941147,0.955144134,0.006909895,0.008534501,3.712508039,0.000101253,7117882.575,5309.822123,21955.91718,0.000110249,0.013806334,2.08E-08,6.29E-07,GOOD,290.4258221,601.2430297
11,Almonds,San Joaquin River,117828.5502,4775.762292,1.018616781,4.125499535,1058.3111,206.2749768,455.3980167,1465.658483,0.4,50,0.217550368,0.301286212,0.093613311,1679.029036,1.454344131,1679.029036,0.17,68.61215883,1610.416877,-4.882352941,0.012832728,0.978161305,0.002134919,0.006871048,0.469576695,2.12E-05,10324728.24,117828.55,486101.5675,0.000237382,0.061592314,2.01E-09,1.27E-07,GOOD,4775.762292,1034.316692
11,Beans Dry,San Joaquin River,422.2532085,1593.773361,1.285477627,2.212101358,174.4872303,110.6050679,145.5634062,1032.584352,1.68,50,0.085167238,0.504004546,0.071049516,585.5199417,1.333479076,585.5199417,0.17,68.61215883,516.9077828,-4.882352941,0.10447712,0.733564561,0.020010397,0.141947922,0.991633901,0.001409671,270458.0189,422.2532637,934.0669067,-5.52E-05,-1.08E-05,1.31E-07,1.15E-08,GOOD,1593.773361,451.4553887
11,Berries,San Joaquin River,76.88491972,6918.471451,4.49116409,3.460572945,1405.645459,173.0286473,12947.16439,12034.90563,0.25,50,0.045238346,0.387323291,0.416682812,4511.246412,1.114139416,4511.246412,0.17,68.61215883,4442.634253,-4.882352941,0.056296005,0.706013199,0.123185221,0.114505575,3.499120826,0.052025807,2058.881647,76.88491975,266.0658475,-3.27E-08,2.55E-05,4.26E-10,9.59E-08,GOOD,6918.471451,4085.496804
11,Corn,San Joaquin River,21510.71134,77.55530093,25.22861255,2.415829265,172.4592835,120.7914633,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293,399.0836594,1.196408306,399.0836594,0.17,68.61215883,330.4715006,-4.882352941,0.052941855,0.829948423,0.015856237,0.101253485,17.78155435,0.000154962,115780.6473,21510.71194,51966.2008,-0.000598029,0.005162571,2.78E-08,9.93E-08,GOOD,77.55530093,228.0635708
11,Cucurbits,San Joaquin River,1179.626916,384.0603914,14.86947686,2.299627126,267.5771763,114.9813563,3732.550158,1306.069594,0.05,50,0.046854775,0.228702604,0.653597591,289.5988182,1.00325705,289.5988182,0.17,68.61215883,220.9866593,-4.882352941,0.04529776,0.545068317,0.303451984,0.106181938,12.70707858,0.016954513,5.94E-05,1179.626922,2712.701744,-6.12E-06,0.000310119,5.19E-09,1.14E-07,GOOD,384.0603914,140.1659285
11,Field and Grain,San Joaquin River,5380.950242,194.8087562,3.454627792,2.917058441,127.4152527,72.92646103,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,68.61215883,1.060499947,68.61215883,0.17,68.61215883,0,-4.882352941,0.013823801,0.957683556,0.005380103,0.02311254,1.850487538,0.000251136,131349.2752,5380.951148,15696.54478,-0.000906391,0.001546411,1.68E-07,9.85E-08,GOOD,194.8087562,-71.19212885
11,Grapes,San Joaquin River,8159.614574,1686.199914,10.80135885,3.098484515,5693.452831,154.9242258,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166,1764.328209,1.054534307,1764.328209,0.17,68.61215883,1695.71605,-4.882352941,0.131318485,0.682024451,0.106553789,0.080103276,8.556948336,0.000942729,3576.694163,8159.614577,25282.43638,-3.25E-06,0.003028672,3.98E-10,1.20E-07,GOOD,1686.199914,1439.22212
11,Lettuce,San Joaquin River,2.85248003,1008,18.9,3.326092372,1600,216.1960042,12500,929,0.25,65,0.083984211,0.048763332,0.656126648,3806.003996,1.190145407,3806.003996,0.17,68.61215883,3737.391837,-4.882352941,0.056762599,0.802234003,0.131248975,0.009754424,13.59299947,1.40228852,69.71300135,2.852480032,9.487616078,-2.13E-09,-4.01E-06,7.46E-10,4.23E-07,GOOD,1008,3303.11212
11,Onions and Garlic,San Joaquin River,171.6374832,1579.216395,6.547714821,1.480822037,1660.207972,74.04110185,2894.594241,4313.35249,0.41,50,0.160557684,0.417141646,0.279934415,1398.06279,1.10128044,1398.06279,0.17,68.61215883,1329.450631,-4.882352941,0.283971634,0.04674413,0.26877367,0.400510566,6.493378023,0.014210325,18355.35374,171.6374851,254.164546,-1.87E-06,2.15E-05,1.09E-08,8.45E-08,GOOD,1579.216395,1362.462197
11,Orchards,San Joaquin River,3815.51314,4762.917744,3.247388671,3.445837194,2203.997553,172.2918597,5347.052266,5630.387791,0.13,50,0.142496355,0.364024786,0.345706127,2113.315653,1.103101512,2113.315653,0.17,68.61215883,2044.703494,-4.882352941,0.049250913,0.825520982,0.060997939,0.064230165,2.276276862,0.002016061,961.6691754,3815.513141,13147.63551,-1.22E-06,0.0015772,3.19E-10,1.20E-07,GOOD,4762.917744,1691.917814
11,Pasture,San Joaquin River,22910.01072,226.9343417,5,4.600187047,214.8235605,46.00187047,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702,192.6338469,1.14712982,192.6338469,0.17,68.61215883,124.0216881,-4.882352941,0.005075434,0.986439143,0.001602254,0.006883169,2.089814959,8.56E-05,557235.8652,22910.00968,105390.2642,0.001038379,0.070330305,4.53E-08,6.67E-07,GOOD,226.9343417,27.01850873
11,Pistachios,San Joaquin River,232.7120763,4897.401316,1.414819371,3.805829794,1806.455069,190.2914897,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284,2783.41504,1.591834969,2783.41504,0.17,68.61215883,2714.802882,-4.882352941,0.033608303,0.950657759,0.002640955,0.013092984,0.768288117,0.010742889,34546.33603,232.7120763,885.6624509,4.52E-08,0.000102466,1.94E-10,1.16E-07,GOOD,4897.401316,2249.489509
