g,HR_Region,shortage_pct%,IMPLAN_category,crop_class,basin,i,p,y,xland,xlandsc,xwater,xwatersc,grev_base,gross_revenue,iterations,statussc,lambdawater
CHW02-W-WA,San Joaquin River,0.8,Trees and Vine,Trees and vines,CHW,Grapes Wine,510.5784914,8.495282366,3700.983903,3608.0494111578582,12731.38462632,12380.660625785255,16053048.969043277,15649944.82496804,2,Good,611.4829122796785
CHW02-W-WA,San Joaquin River,0.8,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Fresh,513.5119746,20.19858006,181.0029373,182.8129684788754,253.40411222,255.29830807257,1877400.9705620026,1896174.9989985463,2,Good,611.4829122796785
CHW02-W-WA,San Joaquin River,0.8,Vegetables and non-tree fruits,Vegetables,CHW,Tomatoes Processing,78.52090496,49.10025147,1629.026436,1645.316716786484,4192.028028096991,4223.363437652496,6280542.297150598,6343347.783452706,2,Good,611.4829122796785
CHW02-W-WA,San Joaquin River,0.8,Trees and Vine,Trees and vines,CHW,Almonds,5157.824281,1.067695081,11628.12759,11744.408983258758,47772.74433940544,48129.8456029625,64035908.09365518,64676267.82088449,2,Good,611.4829122796785
CHW02-W-WA,San Joaquin River,0.8,Trees and Vine,Trees and vines,CHW,Pistachios,4636.170568,1.382293453,7985.874881,8065.7337104017915,30954.00373940703,31185.384917248914,51177864.27883246,51689643.43809717,2,Good,611.4829122796785
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Alfalfa and Pasture,Alfalfa and pasture,CLS,Alfalfa,187.2098036,5.87624882,379.271176,3.391899364512728e-18,1308.4855572000001,1.53637343786236e-08,417232.954243433,3.731399278156768e-15,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Beans Dry,1054.225767,1.083582552,150.522743,6.851430112964199e-18,310.57859300649244,1.536373439587303e-08,171948.24762533206,7.82666710805041e-15,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Vegetables and non-tree fruits,Vegetables,CLS,Cucurbits,161.7514,13.41,440.391804,8.505829606497134e-18,839.6803731067972,1.536373440067299e-08,955247.8172384981,1.8449878248435753e-14,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Other field and grain,Field and grain,CLS,Field and Grain,173.2298426,2.485487486,829.400833,1.7262425495828026e-17,798.9894688468664,1.5363734418422463e-08,357107.3252601556,7.432520382238224e-15,6,Good,988.2122676237062
CLS01-SC-ColusaCountyWD,Sacramento River,0.8,Trees and Vine,Trees and vines,CLS,Grapes Wine,730.6198687,7.837965954,1344.662478,1332.7326921542135,3276.4942385082204,3239.3067313088086,7700308.722977327,7631991.925628899,6,Good,988.2122676237062
