g,i,hr,xland,p,y,xwater,omegaland,omegasupply,omegalabor,theta,sigma,omegaland,omegasupply,omegalabor,omegawater,omegawater,mprof,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
SACRAMENTO VALLEY - BEND,Other Deciduous,Sacramento River,30.95347589,1631.0,1.9,3.327741402,0.215021845,0.341552948,0.346579073,0.13,0.17,2284.866179,4950.948854,6009.195442,10,33.27741402,3064.7194321139996,86.34535690503164,3064.7194321139996,552.758575477,2511.960856637,-4.88235294117647,0.206332024481247,0.7936216503280723,2.299341545048285e-05,2.3331775230153252e-05,1.3783006993974187,0.2485119189729775,4.612921185237546,30.953469367551214,103.00230515157779,6.522448785517554e-06,0.0028581033840140435,2.107178143319514e-07,2.7747185613788808e-05,GOOD,0,0
SACRAMENTO VALLEY - BEND,Pasture,Sacramento River,161.2648525,272.0,5.0,3.965593094,0.350906068,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,10,39.65593094,1319.648082655,32.09855145578573,1319.648082655,552.758575477,766.889507178,-4.88235294117647,0.03838066969881393,0.9616092966462004,5.524902391859515e-06,4.5087525935623894e-06,2.5800285122172038,0.012158782793203437,8881.443609751776,161.26430621740315,639.4906534545091,0.0005462825968436391,0.020131924419501956,3.387487033751754e-06,3.1480195298931836e-05,GOOD,0,0
SACRAMENTO VALLEY - BEND,Truck Crops,Sacramento River,69.11366439,5809.0,4.2,2.662234731,0.139554281,0.396137579,0.419814805,0.25,0.17,7441.94487,27484.23099,27982.75263,10,26.62234731,24370.222146025,842.5601216492046,24370.222146025,552.758575477,23817.463570548,-4.88235294117647,0.8847785421411685,0.11519183428698425,1.4381978976969846e-05,1.5241592870265648e-05,4.096944505576711,0.057875675314052036,7537.443246448623,69.11366221045807,183.99177106397093,2.1795419229420077e-06,0.005026661764986784,3.1535615166389066e-08,2.731928939589201e-05,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Alfalfa,Sacramento River,1649.792293,264.7665874,6.386422689,3.537610105,0.306290873,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,10,35.37610105,1654.8705102724614,44.68242596469515,1654.8705102724614,490.430159577321,1164.44035069514,-4.88235294117647,0.08923511217528832,0.910745563404321,1.0808505971128482e-05,8.515914419564922e-06,3.9102736381527774,0.0003258800582857072,2087766.9804657975,1649.7921916489906,5836.318186217963,0.0001013510093343939,0.0037006499578637886,6.143258746232602e-08,6.340722855246344e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Almonds & Pistachios,Sacramento River,9175.315501,4597.114389,0.850111155,3.61367267,0.287448101,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,10,36.136726700000004,3871.2407031089097,101.09209510618521,3871.2407031089097,490.430159577321,3380.81054353159,-4.88235294117647,0.16820470113473596,0.8317782093662595,1.2994725163916433e-05,4.094773840531959e-06,0.5912182300979542,0.0002724701945919494,1018597.3713787944,9175.315456512655,33156.56793246607,4.4487343984656036e-05,0.01893212498544017,4.848590108951289e-09,5.70991370817434e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Citrus & Subtropical,Sacramento River,1232.119926,991.5,3.85,2.972946835,0.183365181,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,10,29.72946835,3786.859273992,119.5269841345817,3786.859273992,490.430159577321,3296.42911441468,-4.88235294117647,0.384032649859348,0.6159163533209864,1.3373911181773432e-05,3.762290848403723e-05,3.169849237413035,0.006243148519868748,240.955835121608,1232.1199250362513,3663.024962307132,9.637487892177887e-07,0.0020720350030387635,7.821874875009437e-10,5.656619466940114e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Corn,Sacramento River,2269.927736,231.2932314,5.979401995,2.826875063,0.234536008,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,10,28.26875063,1353.8466976761565,45.18715443171282,1353.8466976761565,490.430159577321,863.416538098836,-4.88235294117647,0.2306534235514513,0.769236669199452,9.480277723146169e-05,1.5104471865215487e-05,4.446917506656111,0.0014684755291845702,20980.86216604717,2269.927724158162,6416.79840534531,1.1841837931569899e-05,0.0037063651379867224,5.216834766924007e-09,5.776031539484022e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Cotton,Sacramento River,494.4033815,1699.0,0.8,2.633766816,0.148539114,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,10,26.33766816,1332.1903243,47.926387745417856,1332.1903243,490.430159577321,841.760164722679,-4.88235294117647,0.309036234250078,0.6908423471562279,0.00010327357512353289,1.8145018570666316e-05,0.6315526943272955,0.0029744704229821644,65040.966892611155,494.4033780529644,1302.1424677437544,3.447035624049022e-06,0.0007521691338752134,6.972111747275785e-09,5.776393275123243e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Cucurbits,Sacramento River,136.7563374,203.0,12.0,1.97136542,0.087908733,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,10,19.7136542,2415.316085234,112.16445369488719,2415.316085234,490.430159577321,1924.88592565668,-4.88235294117647,0.8165133788486151,0.1831883472070278,7.733837511239177e-05,0.000220935569244571,11.532007223051732,0.14624550774200537,2.7130178923862535e-05,136.75633744714685,269.59656391653925,-4.714684109785594e-08,0.0001505996734749715,3.447506857393794e-10,5.586109376192523e-07,GOOD,0,0
SACRAMENTO VALLEY - BUTTE,Dry Beans,Sacramento River,818.5191722,1333.986797,1.375133076,2.293810917,0.272510229,0.483520066,0.106180731,1.68,0.17,521.9411016,903.6303871,214.6292221,10,22.93810917,1810.6090473059976,73.40474943575389,1810.6090473059976,490.430159577321,1320.17888772868,-4.88235294117647,0.5780863168537632,0.4217254334176087,0.00015435373612137857,3.3895992506646205e-05,1.2323796085228262,0.0007272133817442856,1001271.6935190991,818.519174885178,1877.5271543513159,-2.685178060346516e-06,0.0010586148468973988,3.2805316619882543e-09,5.638343219487362e-07,GOOD,0,0
