g,i,hr,xland,p,y,xwater,omegaland,omegawater_unit,omegasupply,omegalabor,theta,sigma,omegaland_init,omegasupply_init,omegalabor_init,omegawater,mprof_init,f_adjustment,mprof,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
GRASSLANDS W.D.,Corn,San Joaquin River,235.961025,62.0,26.2,2.415829265,0.234536008,120.79146325,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50,1502.7287757929998,12.714983589017047,1502.7287757929998,769.294661245,733.434114548,-4.88235294117647,0.14363922590088718,0.8562991095119079,5.3190068643358864e-05,8.474518561528721e-06,17.889825842252467,0.014126626773778989,1852.7346250559233,235.9611140853239,570.0408802402773,-8.908532390705659e-05,0.0006693541193953934,3.775425365568597e-07,1.174219879009979e-06,GOOD,62,1565.157929
GRASSLANDS W.D.,Cotton,San Joaquin River,274.9930646,3927.0,0.8,3.634047537,0.148539114,181.70237684999998,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50,2959.2256156100007,16.405812746167978,2959.2256156100007,769.294661245,2189.930954365,-4.88235294117647,0.02904110269638356,0.9709537603727915,4.369258408515617e-06,7.676724163729493e-07,0.3922841031184156,0.005347728450654597,94107.05367821711,274.9930988517926,999.3364605125907,-3.425179255600597e-05,0.0014085891211834678,1.2455511416561726e-07,1.4095224095226423e-06,GOOD,3927,3008.864977
GRASSLANDS W.D.,Cucurbits,San Joaquin River,40.80997137,372.0,15.4,2.299627126,0.087908733,114.98135629999999,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50,5612.848383134,47.05410883838947,5612.848383134,769.294661245,4843.553721889,-4.88235294117647,0.4556575411501956,0.5442708296265693,1.8572482915002398e-05,5.30567403200285e-05,13.164997821439195,0.490076305584039,2.0371296018592673e-05,40.80997178006467,93.84759071157151,-4.100646719962242e-07,0.00012646216386258402,1.0048148975122013e-08,1.3475252000906024e-06,GOOD,372,5674.94689
GRASSLANDS W.D.,Grain,San Joaquin River,926.2253268,206.2919153,4.233904617,0.466656841,0.351483763,23.33284205,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,849.136652465443,34.254701692406364,849.136652465443,769.294661245,79.841991220443,-4.88235294117647,0.9986314998580331,0.0006639650546725651,0.0005717494930937839,0.00013278559420060903,4.256872053292485,0.001458987691494155,14229.936755723362,926.2403581711285,432.2357646249455,-0.01503137112854347,-0.006379566264911318,1.6228633242490892e-05,1.4759677350592931e-05,GOOD,206.2919153,870.2918084
GRASSLANDS W.D.,Pasture,San Joaquin River,815.9913879,200.0,5.0,4.600187047,0.350906068,230.00935235000003,0.190014026,0.155066311,0.51,0.17,328.209843,177.7241242,145.0367898,50,769.294661245,4.128127062513899,769.294661245,769.294661245,0.0,-4.88235294117647,0.0019399819552916714,0.9980591482292301,4.789526469687446e-07,3.908628308792772e-07,1.4680759688472647,0.0024029473139069273,20.553643613289054,815.9760000807977,3753.635137517904,0.015387819202260289,0.07787556322864475,1.8857820597667964e-05,2.0746275209974758e-05,GOOD,200,787.6868049
GRASSLANDS W.D.,Rice,San Joaquin River,158.8750946,579.0,4.7,4.833919598,0.381523094,241.69597989999997,0.545092624,0.07948555,0.2,0.17,851.2633133,1216.2235,177.3500304,50,2478.5979188320002,10.678582866869956,2478.5979188320002,769.294661245,1709.303257587,-4.88235294117647,0.004655700362482685,0.9953431266351187,1.0237228611995862e-06,1.4927953725167775e-07,1.5949685822659387,0.03147126371561575,366.04076472644596,158.87509249829355,767.9882080776498,2.1017064568695787e-06,0.0012253433941395997,1.3228671631390982e-08,1.5955211632030556e-06,GOOD,579,2486.626112
GRASSLANDS W.D.,Tomato Processing,San Joaquin River,70.38321942,97.0,48.5,2.379660861,0.124471553,118.98304305,0.533148968,0.188806686,0.74,0.17,657.2463564,2815.18314,996.9547547,50,4584.670529743,37.3904364332651,4584.670529743,769.294661245,3815.375868498,-4.88235294117647,0.35861897754474,0.6413245516646582,4.1702483476174373e-05,1.4768307125572909e-05,39.519796674169655,0.019199908195267252,51447.930449735766,70.38323223709772,167.4879848390006,-1.2817097712058967e-05,0.000207685948538483,1.8210445355696358e-07,1.240003521487319e-06,GOOD,97,4647.025715
HENRY MILLER RECLAMATION DIST. 2131,Alfalfa,San Joaquin River,3708.141917,281.5865269,6.820673657,4.134965358,0.306290873,206.74826789999997,0.200481491,0.157957374,1.86,0.17,739.7198673,484.1807412,381.4811931,50,1713.1968085549522,8.81888896647971,1713.1968085549522,769.294661245,943.902147309952,-4.88235294117647,0.00803719292078772,0.9919611258203285,9.403592095935502e-07,7.408996741954238e-07,2.5995724879200384,0.00014498754919205282,3804043.8244397067,3708.1421865737107,15333.029400298756,-0.00026957371073876857,0.008969043954493827,7.269778686271585e-08,5.849489017406214e-07,GOOD,281.5865269,1748.965691
HENRY MILLER RECLAMATION DIST. 2131,Almonds & Pistachios,San Joaquin River,482.3624499,5084.931574,1.008661116,3.861203726,0.287448101,193.0601863,0.299096541,0.094248449,0.4,0.17,2039.310074,2110.873995,639.9084906,50,4935.231776823477,25.212714283029047,4935.231776823477,769.294661245,4165.93711557848,-4.88235294117647,0.03374003457688596,0.9662572764510001,2.044673959368763e-06,6.442981544918467e-07,0.5078098119265956,0.005182824659171298,65984.19974932449,482.36245380149836,1862.4985790115563,-3.90149835993725e-06,0.0011098248119196796,8.088312763039663e-09,5.958791932003294e-07,GOOD,5084.931574,4979.203021
HENRY MILLER RECLAMATION DIST. 2131,Citrus & Subtropical,San Joaquin River,5.731683796,872.0,7.8,3.247465856,0.183365181,162.3732928,0.131883505,0.371008972,0.13,0.17,2549.235389,1743.692937,5418.931559,50,6638.540449542,39.726064910149375,6638.540449542,769.294661245,5869.245788297,-4.88235294117647,0.11506326624368592,0.8849280175553411,2.285822888928037e-06,6.430378084016352e-06,5.033990171686302,1.3420677005378354,1.995697239733691,5.731683820466832,18.613448503727657,-2.446683122769855e-08,-1.0788291859853416e-06,4.268698710276611e-09,5.7959665469720275e-08,GOOD,872,6695.453397
HENRY MILLER RECLAMATION DIST. 2131,Corn,San Joaquin River,3153.419258,62.0,26.2,2.415829265,0.234536008,120.79146325,0.556552162,0.088672787,0.3,0.17,423.9938724,1022.014707,159.5840787,50,1502.7287757929998,12.714983589017047,1502.7287757929998,769.294661245,733.434114548,-4.88235294117647,0.14363922590088715,0.856299109511908,5.319006864335885e-05,8.474518561528718e-06,17.889825842252467,0.0010570536489484881,24760.229137904258,3153.4196887099015,7618.118745418931,-0.0004307099015932181,0.0037828720542165684,1.365850419352066e-07,4.965622487913962e-07,GOOD,62,1565.157929
HENRY MILLER RECLAMATION DIST. 2131,Cotton,San Joaquin River,11606.96075,3922.445125,0.8,3.634047537,0.148539114,181.70237684999998,0.445240339,0.078228087,0.68,0.17,378.6944542,1135.122209,199.4393382,50,2955.5817156100006,16.386783862457207,2955.5817156100006,769.294661245,2186.287054365,-4.88235294117647,0.029006381390426036,0.9709884814950532,4.369414652367368e-06,7.67699868192916e-07,0.39219373877640934,0.00012669882038621674,3965479.978810105,11606.961195733127,42180.22244822052,-0.0004457331269804854,0.024677372653968632,3.8402225748931336e-08,5.850457106258975e-07,GOOD,3922.445125,3005.221077
HENRY MILLER RECLAMATION DIST. 2131,Cucurbits,San Joaquin River,1109.713777,372.0,15.4,2.299627126,0.087908733,114.98135629999999,0.228781824,0.653570009,0.05,0.17,920.9338517,2396.72349,6846.813993,50,5612.848383134,47.05410883838947,5612.848383134,769.294661245,4843.553721889,-4.88235294117647,0.4556575411501957,0.5442708296265691,1.8572482915002404e-05,5.3056740320028515e-05,13.164997821439195,0.018022665316517916,0.000553940791632014,1109.7137810565614,2551.926394867567,-4.056561465404229e-06,0.0015088175473465526,3.6555024813431957e-09,5.912461496924513e-07,GOOD,372,5674.94689
HENRY MILLER RECLAMATION DIST. 2131,Grain,San Joaquin River,3404.89204,189.1543272,4.470285142,0.466656841,0.351483763,23.33284205,0.486359995,0.112954365,0.74,0.17,345.3012994,477.8051109,110.9675411,50,821.2901382541665,33.16258825570208,821.2901382541665,769.294661245,51.9954770091664,-4.88235294117647,0.9985851852094951,0.0006864358657493147,0.0005910994193468658,0.0001372795054087332,4.495346715414415,0.00039688522733641546,34146.17822562968,3404.9243327717836,1588.9302850344964,-0.03229277178343182,-0.014121702050715612,9.484227812236836e-06,8.887631944720143e-06,GOOD,189.1543272,842.4452942
HENRY MILLER RECLAMATION DIST. 2131,Lettuce,San Joaquin River,369.5729814,674.0,15.2,3.326092372,0.164570286,166.3046186,0.334656366,0.457537993,0.25,0.17,2859.243032,5814.317411,7949.261967,50,10077.538616755,58.333562664973655,10077.538616755,769.294661245,9308.24395551,-4.88235294117647,0.14637043162170602,0.853618062400384,4.860611175705222e-06,6.645366734441674e-06,10.289046980676883,0.010823302030487664,15752.073508348018,369.5729831542604,1229.2331580226978,-1.7542603814035829e-06,0.0007163091402162536,4.7467224870123655e-09,5.827281164095891e-07,GOOD,674,10133.21433
HENRY MILLER RECLAMATION DIST. 2131,Onions & Garlic,San Joaquin River,772.3914929,2039.0,6.5,1.480822037,0.178481578,74.04110185,0.383051703,0.272440319,0.41,0.17,887.6914461,1905.136225,1355.002253,50,13178.62492455,168.57920845515423,13178.62492455,769.294661245,12409.330263305,-4.88235294117647,0.9631603256956055,0.03679176829275248,2.7994969774583875e-05,1.99110418673246e-05,6.457691035204278,0.003157756672184993,342863.37360208266,772.3915055483374,1143.7736986958319,-1.2648337360587902e-05,0.0006451818171626655,1.63755523939017e-08,5.640813859973078e-07,GOOD,2039,13230.73769
