g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,CS_land,CS_labor,CS_supply,mprof_init,f_adjustment,mprof,sigma,lambdaland,lambdacrop,rho,betaland,betawater,betasupply,betalabor,tau,gamma,delta,xlandcalib,xwatercalib,diffland,diffwater,percdiffland,percdiffwater,status,pc,pimarginal
CENTRAL CALIFORNIA I.D.,Walnuts,San Joaquin River,5116.985095,1802.497789,1.658526763,4.952669773,765.1413128,247.6334887,268.1025116,816.5691826,0.13,50,0.25594369,0.273146576,0.089681664,892.0443277,1.357428723,892.0443277,0.17,68.61215883,823.4321688,-4.882352941,0.002698778,0.9955348,0.000436613,0.001329808,0.557257651,0.001503289,482.2120168,5116.985049,25342.73037,4.59E-05,0.007036134,8.96E-09,2.78E-07,GOOD,1802.497789,892.0443277
CENTRAL CALIFORNIA I.D.,Tomatoes,San Joaquin River,7815.842631,99.69467136,46.73447582,2.379660861,122.4440466,118.9830431,1913.505271,924.141116,0.74,50,0.026280181,0.198348523,0.410695875,1580.104731,1.441119419,1580.104731,0.17,68.61215883,1511.492573,-4.882352941,0.133645775,0.643606157,0.150205326,0.072542741,38.03339952,0.000172899,2446573.669,7815.842904,18599.05075,-0.000273106,0.004051695,3.49E-08,2.18E-07,GOOD,99.69467136,1580.104731
CITY OF TRACY,Alfalfa,San Joaquin River,160.5747748,290.4258221,6.981811447,4.134965358,571.5529894,206.7482679,305.9903334,377.9325916,1.86,50,0.281872792,0.186385019,0.150905255,565.4741469,1.320687545,565.4741469,0.17,68.61215883,496.8619881,-4.882352941,0.005330553,0.991463115,0.001434528,0.001771804,2.690447431,0.003348187,186396.8533,160.5747023,663.9668107,7.25E-05,0.004320467,4.51E-07,6.51E-06,GOOD,290.4258221,565.4741469
CITY OF TRACY,Field and Grain,San Joaquin River,7.543736,194.8087562,3.454627792,2.917058441,127.4152527,72.92646103,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,68.61215883,1.060499947,68.61215883,0.17,68.61215883,0,-4.882352941,0.013823801,0.957683556,0.005380103,0.02311254,1.850487538,0.179135557,184.142988,7.543810153,22.00548047,-7.42E-05,3.83E-05,9.83E-06,1.74E-06,GOOD,194.8087562,68.61215883
COLUMBIA CANAL CO.,Corn,San Joaquin River,10.43628722,77.55530093,25.22861255,2.415829265,172.4592835,120.7914633,171.1787432,1093.099489,0.3,50,0.088141761,0.558669339,0.087487293,399.0836594,1.196408306,399.0836594,0.17,68.61215883,330.4715006,-4.882352941,0.052941855,0.829948423,0.015856237,0.101253485,17.78155435,0.31939839,56.17294896,10.43628932,25.21228371,-2.10E-06,4.37E-06,2.01E-07,1.73E-07,GOOD,77.55530093,399.0836594
COLUMBIA CANAL CO.,Cotton,San Joaquin River,156.0299542,3399.208415,0.729719844,3.634047537,368.4467916,181.7023768,194.0424101,1104.40523,0.68,50,0.148539114,0.445240339,0.078228087,631.8730258,1.277916424,631.8730258,0.17,68.61215883,563.2608669,-4.882352941,0.0098805,0.97729429,0.001916623,0.010908587,0.341372032,0.009425038,22715.80874,156.029968,567.0199605,-1.38E-05,0.000310234,8.87E-08,5.47E-07,GOOD,3399.208415,631.8730258
COLUMBIA CANAL CO.,Field and Grain,San Joaquin River,6.79304418,194.8087562,3.454627792,2.917058441,127.4152527,72.92646103,76.29216244,327.7457083,0.74,25,0.189326621,0.486998112,0.113362702,68.61215883,1.060499947,68.61215883,0.17,68.61215883,0,-4.882352941,0.013823801,0.957683556,0.005380103,0.02311254,1.850487538,0.19893163,165.8185617,6.793053988,19.81572289,-9.81E-06,-1.60E-05,1.44E-06,8.08E-07,GOOD,194.8087562,68.61215883
COLUMBIA CANAL CO.,Grapes,San Joaquin River,31.74987425,1686.199914,10.80135885,3.098484515,5693.452831,154.9242258,6051.355458,4549.18964,0.13,50,0.312599493,0.249773629,0.332250166,1764.328209,1.054534307,1764.328209,0.17,68.61215883,1695.71605,-4.882352941,0.131318485,0.682024451,0.106553789,0.080103276,8.556948336,0.242278367,13.91727377,31.74987437,98.37644086,-1.21E-07,5.29E-05,3.80E-09,5.37E-07,GOOD,1686.199914,1764.328209
COLUMBIA CANAL CO.,Pasture,San Joaquin River,26.45201577,226.9343417,5,4.600187047,214.8235605,46.00187047,128.6294508,552.5829798,0.51,10,0.189326621,0.486998112,0.113362702,192.6338469,1.14712982,192.6338469,0.17,68.61215883,124.0216881,-4.882352941,0.005075434,0.986439143,0.001602254,0.006883169,2.089814959,0.074126083,643.3873853,26.45201382,121.6838635,1.95E-06,0.000356825,7.37E-08,2.93E-06,GOOD,226.9343417,192.6338469
COLUMBIA CANAL CO.,Pistachios,San Joaquin River,1900.204502,4897.401316,1.414819371,3.805829794,1806.455069,190.2914897,360.6739904,1788.10266,0.4,50,0.260711671,0.25806301,0.052053284,2783.41504,1.591834969,2783.41504,0.17,68.61215883,2714.802882,-4.882352941,0.033608303,0.950657759,0.002640955,0.013092984,0.768288117,0.001315648,282087.2225,1900.204517,7231.850509,-1.53E-05,0.004399123,8.06E-09,6.08E-07,GOOD,4897.401316,2783.41504
