g,i,hr,xland,p,y,xwater,omegaland,omegawater,omegasupply,omegalabor,theta,omegawater_unit,sigma,CS_land,CS_labor,CS_supply
PANOCHE W.D.,Corn,San Joaquin River,579.5089786,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
PATTERSON W.D.,Corn,San Joaquin River,1189.649435,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
SAN BENITO CO. W.D.,Corn,Central Coast,66.93662324,526.0114442,13.71643442,2.27,635.9429352,50,631.2209481,4030.800103,0.3,50,0.17,0.088141761,0.558669338,0.087487293
SAN LUIS W.D.,Corn,San Joaquin River,1079.624162,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
SANTA CLARA VALLEY W.D.,Corn,San Francisco Bay,517.8284123,592.8076036,11.59681099,2.3,605.946201,50,601.4469448,3840.671661,0.3,50,0.17,0.088141761,0.558669339,0.087487293
THE WEST SIDE I.D.,Corn,San Joaquin River,276.0452611,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
TRANQUILLITY I.D.,Corn,Tulare Lake,220.6909679,161.4386617,22.01452234,2.28,313.2553796,50,310.9294039,1985.508049,0.3,50,0.17,0.088141761,0.558669338,0.087487293
Turner Island Water District,Corn,San Joaquin River,199.7856786,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
WEST STANISLAUS I.D.,Corn,San Joaquin River,441.3094998,77.55530093,25.22861255,2.42,172.4592834,50,171.1787431,1093.099489,0.3,50,0.17,0.088141761,0.558669339,0.087487293
WESTLANDS W.D.,Corn,Tulare Lake,7775.839724,161.4386617,22.01452234,2.28,313.2553796,50,310.9294039,1985.508049,0.3,50,0.17,0.088141761,0.558669338,0.087487293
CENTRAL CALIFORNIA I.D.,Cotton,San Joaquin River,13328.48645,3399.208415,0.729719844,3.63,368.4467917,50,194.0424094,1104.405231,0.68,50,0.17,0.148539114,0.445240339,0.078228087
COLUMBIA CANAL CO.,Cotton,San Joaquin River,15.17210531,3399.208415,0.729719844,3.63,368.4467917,50,194.0424094,1104.405231,0.68,50,0.17,0.148539114,0.445240339,0.078228087
EAGLE FIELD W.D.,Cotton,San Joaquin River,1032.97327,3399.208415,0.729719844,3.63,368.4467917,50,194.0424094,1104.405231,0.68,50,0.17,0.148539114,0.445240339,0.078228087
FIREBAUGH CANAL W.D.,Cotton,San Joaquin River,2644.850688,3399.208415,0.729719844,3.63,368.4467917,50,194.0424094,1104.405231,0.68,50,0.17,0.148539114,0.445240339,0.078228087
FRESNO SLOUGH W.D.,Cotton,Tulare Lake,102.3418655,3710.758752,0.813814056,3.75,448.568462,50,236.2384667,1344.566888,0.68,50,0.17,0.148539114,0.445240339,0.078228087
GRASSLANDS W.D.,Cotton,San Joaquin River,32.37274313,3399.208415,0.729719844,3.63,368.4467917,50,194.0424094,1104.405231,0.68,50,0.17,0.148539114,0.445240339,0.078228087
HENRY MILLER RECLAMATION DIST. 2131,Cotton,San Joaquin River,8039.667186,3399.208415,0.729719844,3.63,368.4467917,50,194.0424094,1104.405231,0.68,50,0.17,0.148539114,0.445240339,0.078228087
JAMES I.D.,Cotton,Tulare Lake,1815.04729,3710.758752,0.813814056,3.75,448.568462,50,236.2384667,1344.566888,0.68,50,0.17,0.148539114,0.445240339,0.078228087
ORO LOMA W.D.,Cotton,San Joaquin River,74.97303315,3399.208415,0.729719844,3.63,368.4467917,50,194.0424094,1104.405231,0.68,50,0.17,0.148539114,0.445240339,0.078228087
PACHECO W.D.,Cotton,San Joaquin River,118.8977846,3399.208415,0.729719844,3.63,368.4467917,50,194.0424094,1104.405231,0.68,50,0.17,0.148539114,0.445240339,0.078228087
PANOCHE W.D.,Cotton,San Joaquin River,2978.103485,3399.208415,0.729719844,3.63,368.4467917,50,194.0424094,1104.405231,0.68,50,0.17,0.148539114,0.445240339,0.078228087
SAN LUIS W.D.,Cotton,San Joaquin River,1275.056641,3399.208415,0.729719844,3.63,368.4467917,50,194.0424094,1104.405231,0.68,50,0.17,0.148539114,0.445240339,0.078228087
TRANQUILLITY I.D.,Cotton,Tulare Lake,298.4951164,3710.758752,0.813814056,3.75,448.568462,50,236.2384667,1344.566888,0.68,50,0.17,0.148539114,0.445240339,0.078228087
Turner Island Water District,Cotton,San Joaquin River,1102.8674,3399.208415,0.729719844,3.63,368.4467917,50,194.0424094,1104.405231,0.68,50,0.17,0.148539114,0.445240339,0.078228087
WESTLANDS W.D.,Cotton,Tulare Lake,20363.84089,3710.758752,0.813814056,3.75,448.568462,50,236.2384667,1344.566888,0.68,50,0.17,0.148539114,0.445240339,0.078228087
CENTRAL CALIFORNIA I.D.,Cucurbits,San Joaquin River,3085.973773,384.0603914,14.86947686,2.3,267.5771745,50,3732.550159,1306.069593,0.05,50,0.17,0.046854775,0.228702604,0.653597591
DEL PUERTO WATER DISTRICT,Cucurbits,San Joaquin River,707.0967716,384.0603914,14.86947686,2.3,267.5771745,50,3732.550159,1306.069593,0.05,50,0.17,0.046854775,0.228702604,0.653597591
FIREBAUGH CANAL W.D.,Cucurbits,San Joaquin River,1047.821321,384.0603914,14.86947686,2.3,267.5771745,50,3732.550159,1306.069593,0.05,50,0.17,0.046854775,0.228702604,0.653597591
HENRY MILLER RECLAMATION DIST. 2131,Cucurbits,San Joaquin River,1919.334444,384.0603914,14.86947686,2.3,267.5771745,50,3732.550159,1306.069593,0.05,50,0.17,0.046854775,0.228702604,0.653597591
PACHECO W.D.,Cucurbits,San Joaquin River,108.6223468,384.0603914,14.86947686,2.3,267.5771745,50,3732.550159,1306.069593,0.05,50,0.17,0.046854775,0.228702604,0.653597591
PANOCHE W.D.,Cucurbits,San Joaquin River,1659.583285,384.0603914,14.86947686,2.3,267.5771745,50,3732.550159,1306.069593,0.05,50,0.17,0.046854775,0.228702604,0.653597591
PATTERSON W.D.,Cucurbits,San Joaquin River,202.1898291,384.0603914,14.86947686,2.3,267.5771745,50,3732.550159,1306.069593,0.05,50,0.17,0.046854775,0.228702604,0.653597591
SAN BENITO CO. W.D.,Cucurbits,Central Coast,239.732704,711.6013188,16.77063156,1.66,559.165047,50,7800.035966,2729.337683,0.05,50,0.17,0.046854775,0.228702604,0.653597591
SAN LUIS W.D.,Cucurbits,San Joaquin River,691.3802151,384.0603914,14.86947686,2.3,267.5771745,50,3732.550159,1306.069593,0.05,50,0.17,0.046854775,0.228702604,0.653597591
SANTA CLARA VALLEY W.D.,Cucurbits,San Francisco Bay,397.0760552,620.0615846,11.79928567,1.35,342.8028277,50,4781.90545,1673.253149,0.05,50,0.17,0.046854775,0.228702604,0.653597591
THE WEST SIDE I.D.,Cucurbits,San Joaquin River,22.48834412,384.0603914,14.86947686,2.3,267.5771745,50,3732.550159,1306.069593,0.05,50,0.17,0.046854775,0.228702604,0.653597591
TRANQUILLITY I.D.,Cucurbits,Tulare Lake,242.5581636,654.3961754,16.06524008,2.44,492.5857301,50,6871.292173,2404.357716,0.05,50,0.17,0.046854775,0.228702604,0.653597591
Turner Island Water District,Cucurbits,San Joaquin River,190.1281233,384.0603914,14.86947686,2.3,267.5771745,50,3732.550159,1306.069593,0.05,50,0.17,0.046854775,0.228702604,0.653597591
WEST STANISLAUS I.D.,Cucurbits,San Joaquin River,185.073951,384.0603914,14.86947686,2.3,267.5771745,50,3732.550159,1306.069593,0.05,50,0.17,0.046854775,0.228702604,0.653597591
